year,count
2022,215
2023,220
2024,225
2025,229
2026,234
2027,240
2028,246
2029,252
2030,257
2031,263
2032,269
2033,275
2034,280
2035,285
2036,290
2037,294
2038,297
2039,300
2040,303
2041,305
2042,307
2043,308
2044,309
2045,309
2046,308
2047,307
2048,307
2049,306
2050,305
