year,tis_before,redo_target,tis_after
2015,67,2.0,65
2016,101,2.0,99
2017,135,4.0,131
2018,171,2.0,169
2019,218,3.0,215
2020,270,8.0,262
2021,321,8.0,313
2022,371,7.0,364
2023,433,10.0,423
2024,453,,453
2025,499,,499
2026,545,,545
2027,555,,555
2028,561,,561
2029,550,,550
2030,532,,532
2031,514,,514
2032,468,,468
2033,448,,448
2034,409,,409
2035,374,,374
2036,327,,327
2037,288,,288
2038,248,,248
2039,228,,228
2040,197,,197
