year,tis_before,redo_target,tis_after
2015,75,113.0,0
2016,106,151.0,0
2017,137,171.0,0
2018,182,190.0,0
2019,226,177.0,49
2020,275,197.0,78
2021,331,183.0,148
2022,382,172.0,210
2023,445,220.0,225
2024,479,,479
2025,523,,523
2026,553,,553
2027,567,,567
2028,581,,581
2029,571,,571
2030,552,,552
2031,540,,540
2032,496,,496
2033,459,,459
2034,425,,425
2035,385,,385
