year,tis_before,redo_target,tis_after
2022,18,1,17
2023,22,1,21
2024,26,1,25
2025,29,1,28
2026,37,1,36
2027,44,1,43
2028,50,1,49
2029,56,1,55
2030,63,1,62
2031,67,1,66
2032,71,1,70
2033,72,2,70
2034,77,2,75
2035,78,2,76
2036,79,2,77
2037,81,2,79
2038,81,2,79
2039,78,2,76
2040,80,2,78
2041,81,2,79
2042,82,2,80
2043,85,2,83
2044,86,2,84
2045,90,2,88
2046,92,2,90
2047,96,2,94
2048,100,2,98
2049,103,2,101
2050,110,2,108
