year,tavi_in_savr,tavi_in_tavi,total
2025,549.75,324.2,873.95
2026,562.25,407.45,969.7
2027,576.9,492.45,1069.35
2028,595.75,558.7,1154.45
2029,604.25,646.35,1250.6
2030,616.35,729.35,1345.7
2031,617.7,817.75,1435.45
2032,622.7,897.75,1520.45
2033,635.5,988.35,1623.85
2034,657.75,1078.15,1735.9
2035,656.75,1197.1,1853.85
