year,viv_type,mean,sd,realized
2025,tavi_in_savr,355.8,19.48170531820207,355.8
2025,tavi_in_tavi,70.95,8.331771783518295,70.95
2026,tavi_in_savr,376.45,17.969198793022404,376.45
2026,tavi_in_tavi,101.55,7.976775499437167,101.55
2027,tavi_in_savr,390.75,15.780984560039666,390.75
2027,tavi_in_tavi,139.9,14.973309587395828,139.9
2028,tavi_in_savr,409.6,21.24890090036855,409.6
2028,tavi_in_tavi,183.15,11.708184272011115,183.15
2029,tavi_in_savr,426.75,16.6160195372766,426.75
2029,tavi_in_tavi,239.2,14.266633874367955,239.2
2030,tavi_in_savr,445.2,19.481705318202078,445.2
2030,tavi_in_tavi,298.75,17.21038548147754,298.75
2031,tavi_in_savr,452.9,21.68166822092123,452.9
2031,tavi_in_tavi,364.0,21.08379272781521,364.0
2032,tavi_in_savr,466.5,20.684344448474977,466.5
2032,tavi_in_tavi,434.1,15.562776101968446,434.1
2033,tavi_in_savr,487.45,22.954130461926844,487.45
2033,tavi_in_tavi,515.8,20.244817400484184,515.8
2034,tavi_in_savr,513.15,21.421275700377368,513.15
2034,tavi_in_tavi,605.7,20.352421296533226,605.7
2035,tavi_in_savr,523.95,22.63549843660802,523.95
2035,tavi_in_tavi,719.8,28.55391944706497,719.8
