run,year,viv_type,count
2,2048,tavi_in_tavi,58
2,2049,tavi_in_savr,86
2,2049,tavi_in_tavi,55
2,2050,tavi_in_savr,88
2,2050,tavi_in_tavi,62
3,2022,tavi_in_savr,22
3,2022,tavi_in_tavi,3
3,2023,tavi_in_savr,18
3,2023,tavi_in_tavi,3
3,2024,tavi_in_savr,21
3,2024,tavi_in_tavi,5
3,2025,tavi_in_savr,32
3,2026,tavi_in_savr,29
3,2026,tavi_in_tavi,8
3,2027,tavi_in_savr,26
3,2027,tavi_in_tavi,7
3,2028,tavi_in_savr,46
3,2028,tavi_in_tavi,14
3,2029,tavi_in_savr,45
3,2029,tavi_in_tavi,19
3,2030,tavi_in_savr,55
3,2030,tavi_in_tavi,20
3,2031,tavi_in_savr,50
3,2031,tavi_in_tavi,17
3,2032,tavi_in_savr,54
3,2032,tavi_in_tavi,21
3,2033,tavi_in_savr,55
3,2033,tavi_in_tavi,26
3,2034,tavi_in_savr,55
3,2034,tavi_in_tavi,28
3,2035,tavi_in_savr,47
3,2035,tavi_in_tavi,33
3,2036,tavi_in_savr,46
3,2036,tavi_in_tavi,29
3,2037,tavi_in_savr,52
3,2037,tavi_in_tavi,28
3,2038,tavi_in_savr,63
3,2038,tavi_in_tavi,40
3,2039,tavi_in_savr,46
3,2039,tavi_in_tavi,33
3,2040,tavi_in_savr,57
3,2040,tavi_in_tavi,37
3,2041,tavi_in_savr,46
3,2041,tavi_in_tavi,46
3,2042,tavi_in_savr,54
3,2042,tavi_in_tavi,46
3,2043,tavi_in_savr,70
3,2043,tavi_in_tavi,46
3,2044,tavi_in_savr,51
3,2044,tavi_in_tavi,45
3,2045,tavi_in_savr,63
3,2045,tavi_in_tavi,37
3,2046,tavi_in_savr,59
3,2046,tavi_in_tavi,53
3,2047,tavi_in_savr,74
3,2047,tavi_in_tavi,59
3,2048,tavi_in_savr,84
3,2048,tavi_in_tavi,60
3,2049,tavi_in_savr,68
3,2049,tavi_in_tavi,55
