year,tis_before,redo_target,tis_after
2025,312,,312
2026,302,,302
2027,302,,302
2028,291,,291
2029,266,,266
2030,250,,250
2031,235,,235
2032,234,,234
2033,242,,242
2034,266,,266
2035,295,,295
