year,tis_before,redo_target,tis_after
2022,279,197,82
2023,299,201,98
2024,342,205,136
2025,359,210,149
2026,394,214,180
2027,411,220,191
2028,440,226,214
2029,471,232,239
2030,500,237,263
2031,522,242,280
2032,555,247,308
2033,584,252,332
2034,618,256,362
2035,647,261,386
2036,664,265,399
2037,676,269,407
2038,680,273,407
2039,690,276,414
2040,702,278,424
2041,713,280,433
2042,708,281,427
2043,716,281,435
2044,720,281,439
2045,713,281,432
2046,718,280,438
2047,716,279,437
2048,718,278,440
2049,727,278,449
2050,722,278,444
