sex,age_band,year,count
Women,45-49,2022,1
Women,50-54,2022,9
Women,55-59,2022,7
Women,60-64,2022,10
Women,65-69,2022,14
Women,70-74,2022,17
Women,75-79,2022,8
Women,>=80,2022,7
Men,25-29,2023,1
Men,30-34,2023,3
Men,35-39,2023,5
Men,40-44,2023,3
Men,45-49,2023,2
Men,50-54,2023,15
Men,55-59,2023,13
Men,60-64,2023,20
Men,65-69,2023,21
Men,70-74,2023,21
Men,75-79,2023,18
Men,>=80,2023,6
Women,20-24,2023,2
Women,25-29,2023,1
Women,30-34,2023,3
Women,35-39,2023,1
Women,40-44,2023,3
Women,45-49,2023,3
Women,50-54,2023,8
Women,55-59,2023,8
Women,60-64,2023,13
Women,65-69,2023,18
Women,70-74,2023,13
Women,75-79,2023,9
Women,>=80,2023,10
