year,tis_before,redo_target,tis_after
2025,356,0,356
2026,376,0,376
2027,391,0,391
2028,410,0,410
2029,427,0,427
2030,445,0,445
2031,453,0,453
2032,466,0,466
2033,487,0,487
2034,513,0,513
2035,524,0,524
