year,viv_type,risk,age_bin,mean,sd
2028,tavi_in_savr,ih,70-74,2.8421052631578947,1.302269723501448
2028,tavi_in_savr,ih,75-79,6.2,2.2384204957490614
2028,tavi_in_savr,ih,80-84,1.3333333333333333,0.5773502691896257
2028,tavi_in_savr,ih,85-99,1.0,0.0
2028,tavi_in_savr,ih,<60,36.5,6.177207681213422
2028,tavi_in_savr,low,60-64,155.15,14.397642350855852
2028,tavi_in_savr,low,65-69,160.2,16.535766657381462
2028,tavi_in_savr,low,70-74,61.1,5.75737513291019
2028,tavi_in_savr,low,75-79,38.2,6.985699678629192
2028,tavi_in_savr,low,80-84,2.142857142857143,1.2314558524297639
2028,tavi_in_savr,low,85-99,1.1666666666666667,0.408248290463863
2028,tavi_in_savr,low,<60,318.8,17.246204769379503
2028,tavi_in_tavi,ih,60-64,2.3333333333333335,0.8876253645985945
2028,tavi_in_tavi,ih,65-69,3.263157894736842,1.6945043609385506
2028,tavi_in_tavi,ih,70-74,4.105263157894737,2.078854835456431
2028,tavi_in_tavi,ih,75-79,109.6,10.96117550361514
2028,tavi_in_tavi,ih,80-84,6.45,2.139232523470435
2028,tavi_in_tavi,ih,85-99,15.7,4.702742760739121
2028,tavi_in_tavi,ih,<60,4.1,1.9708400559953587
2028,tavi_in_tavi,low,60-64,2.125,0.8062257748298551
2028,tavi_in_tavi,low,65-69,2.3125,1.25
2028,tavi_in_tavi,low,70-74,4.7894736842105265,2.2255822551119078
2028,tavi_in_tavi,low,75-79,104.55,11.5779963724299
2028,tavi_in_tavi,low,80-84,4.7,2.2028689427533745
2028,tavi_in_tavi,low,85-99,4.947368421052632,2.320768172886017
2028,tavi_in_tavi,low,<60,2.8823529411764706,1.8668942438303942
2029,tavi_in_savr,ih,60-64,11.95,2.5644328397276626
2029,tavi_in_savr,ih,65-69,13.4,3.3934922239021277
2029,tavi_in_savr,ih,70-74,2.6666666666666665,1.3451854182690983
2029,tavi_in_savr,ih,75-79,8.95,2.523051619306314
2029,tavi_in_savr,ih,80-84,1.3333333333333333,0.5773502691896258
2029,tavi_in_savr,ih,85-99,1.0,0.0
