year,tis_before,redo_target,tis_after
2022,18,1,17
2023,21,1,20
2024,26,1,25
2025,29,1,28
2026,37,1,36
2027,43,1,42
2028,48,1,47
2029,53,1,52
2030,59,1,58
2031,62,1,61
2032,63,1,62
2033,65,2,63
2034,69,2,67
2035,67,2,65
2036,67,2,65
2037,66,2,64
2038,66,2,64
2039,65,2,63
2040,66,2,64
2041,64,2,62
2042,65,2,63
2043,66,2,64
2044,69,2,67
2045,71,2,69
2046,71,2,69
2047,73,2,71
2048,75,2,73
2049,77,2,75
2050,79,2,77
