year,TAM,pred_TAVI,pred_SAVR
2012,1052.8352839585698,12.440619777772852,1040.394664180797
2013,1351.3684277025325,27.69534383419324,1323.6730838683393
2014,1603.339471405472,56.25704290592686,1547.0824284995451
2015,1834.3103676300411,107.85289062081723,1726.4574770092238
2016,2051.15318631202,195.3664391516509,1855.786747160369
2017,2265.4639349000804,332.51464095664625,1932.9492939434342
2018,2480.5552816705886,524.9017518856606,1955.653529784928
2019,2693.507296601552,760.0966978532583,1933.4105987482935
2020,2907.3707588558937,1011.545353549296,1895.8254053065975
2021,3120.1732785714403,1250.5371059205409,1869.6361726508994
2022,3331.357037179585,1460.8881053715183,1870.4689318080666
2023,3546.7718327337743,1642.955865211478,1903.8159675222962
2024,3767.916072544659,1802.9024244142324,1965.0136481304266
2025,3993.02426562047,1946.9416777234107,2046.0825878970593
2026,4216.598193880373,2078.3320466681007,2138.2661472122727
2027,4446.88864886608,2205.4356169274083,2241.4530319386718
2028,4685.61817825708,2332.025074349638,2353.593103907442
2029,4926.673552748499,2456.9025802713395,2469.7709724771594
2030,5181.695764951222,2587.011130262315,2594.6846346889074
2031,5439.11417474355,2717.2748641252256,2721.839310618325
2032,5699.954568016814,2848.622348798176,2851.332219218638
2033,5964.133733569954,2981.263815726641,2982.8699178433126
2034,6229.397441491714,3114.223657263931,3115.173784227783
2035,6515.864868170724,3257.6510072528513,3258.2138609178724
2036,6805.602451904158,3402.634756182546,3402.9676957216125
2037,7087.269985181038,3543.5368141585104,3543.733171022527
2038,7368.558524992695,3684.2214550255735,3684.337069967122
2039,7647.279259287029,3823.6056537854047,3823.6736055016245
2040,7934.720692738525,3967.340381985923,3967.380310752602
2041,8222.545978149206,4111.261272771108,4111.284705378098
2042,8489.493859534548,4244.7400792126155,4244.753780321933
2043,8745.32631544942,4372.659161228931,4372.667154220489
2044,8986.533405442835,4493.264377015474,4493.269028427361
2045,9214.484697094864,4607.240998052811,4607.243699042053
2046,9433.147612518515,4716.573023302837,4716.574589215677
2047,9634.431146101273,4817.215120188339,4817.216025912934
2048,9829.833729644211,4914.916603157262,4914.917126486949
2049,10017.438572902236,5008.7191354378865,5008.7194374643495
2050,10189.209826643582,5094.604826334076,5094.605000309506
