year,tis_before,redo_target,tis_after
2022,18,1,17
2023,21,1,20
2024,25,1,24
2025,30,1,29
2026,39,1,38
2027,45,1,44
2028,55,1,54
2029,60,1,60
2030,69,1,68
2031,75,1,74
2032,80,1,79
2033,85,2,83
2034,89,2,87
2035,92,2,90
2036,97,2,95
2037,100,2,98
2038,101,2,99
2039,104,2,102
2040,107,2,105
2041,112,2,110
2042,117,2,115
2043,121,2,119
2044,126,2,124
2045,130,2,128
2046,136,2,134
2047,143,2,141
2048,150,2,148
2049,158,2,156
2050,160,2,158
