year,sex,age_band,population
2027,Women,25-29,1532000
2027,Women,30-34,1689000
2027,Women,35-39,1589000
2027,Women,40-44,1678000
2027,Women,45-49,1957000
2027,Women,5-9,719000
2027,Women,50-54,1990000
2027,Women,55-59,2219000
2027,Women,60-64,2013000
2027,Women,65-69,2064000
2027,Women,70-74,1542000
2027,Women,75-79,1064000
2027,Women,80-84,781000
2027,Women,≥85,983000
2028,Men,0-4,642000
2028,Men,10-14,1039000
2028,Men,15-19,1209000
2028,Men,20-24,1316000
2028,Men,25-29,1593000
2028,Men,30-34,1895000
2028,Men,35-39,1849000
2028,Men,40-44,1742000
2028,Men,45-49,2064000
2028,Men,5-9,706000
2028,Men,50-54,1979000
2028,Men,55-59,2220000
2028,Men,60-64,2002000
2028,Men,65-69,1971000
2028,Men,70-74,1461000
2028,Men,75-79,907000
2028,Men,80-84,565000
2028,Men,≥85,447000
2028,Women,0-4,610000
2028,Women,10-14,992000
2028,Women,15-19,1145000
2028,Women,20-24,1239000
2028,Women,25-29,1461000
2028,Women,30-34,1667000
2028,Women,35-39,1621000
2028,Women,40-44,1601000
2028,Women,45-49,1969000
2028,Women,5-9,673000
2028,Women,50-54,1929000
2028,Women,55-59,2207000
2028,Women,60-64,2040000
2028,Women,65-69,2090000
2028,Women,70-74,1635000
2028,Women,75-79,1104000
2028,Women,80-84,797000
2028,Women,≥85,1038000
2029,Men,0-4,651000
2029,Men,10-14,978000
2029,Men,15-19,1201000
2029,Men,20-24,1309000
2029,Men,25-29,1522000
2029,Men,30-34,1836000
2029,Men,35-39,1894000
2029,Men,40-44,1711000
2029,Men,45-49,2037000
2029,Men,5-9,668000
2029,Men,50-54,1940000
2029,Men,55-59,2196000
2029,Men,60-64,2042000
2029,Men,65-69,1974000
2029,Men,70-74,1556000
2029,Men,75-79,951000
2029,Men,80-84,598000
2029,Men,≥85,471000
2029,Women,0-4,619000
2029,Women,10-14,934000
2029,Women,15-19,1140000
2029,Women,20-24,1237000
2029,Women,25-29,1401000
2029,Women,30-34,1640000
2029,Women,35-39,1649000
2029,Women,40-44,1556000
2029,Women,45-49,1934000
2029,Women,5-9,638000
2029,Women,50-54,1885000
2029,Women,55-59,2176000
2029,Women,60-64,2091000
2029,Women,65-69,2085000
2029,Women,70-74,1737000
2029,Women,75-79,1154000
2029,Women,80-84,829000
2029,Women,≥85,1072000
2030,Men,0-4,658000
2030,Men,10-14,903000
2030,Men,15-19,1192000
2030,Men,20-24,1311000
2030,Men,25-29,1447000
2030,Men,30-34,1777000
2030,Men,35-39,1924000
2030,Men,40-44,1711000
2030,Men,45-49,1964000
2030,Men,5-9,649000
2030,Men,50-54,1947000
2030,Men,55-59,2150000
2030,Men,60-64,2083000
2030,Men,65-69,1949000
2030,Men,70-74,1643000
2030,Men,75-79,1027000
2030,Men,80-84,631000
2030,Men,≥85,490000
2030,Women,0-4,625000
2030,Women,10-14,862000
2030,Women,15-19,1135000
2030,Women,20-24,1240000
2030,Women,25-29,1340000
2030,Women,30-34,1611000
2030,Women,35-39,1669000
2030,Women,40-44,1541000
2030,Women,45-49,1852000
2030,Women,5-9,621000
2030,Women,50-54,1888000
2030,Women,55-59,2126000
2030,Women,60-64,2134000
2030,Women,65-69,2048000
2030,Women,70-74,1833000
2030,Women,75-79,1243000
2030,Women,80-84,866000
2030,Women,≥85,1098000
2031,Men,0-4,663000
2031,Men,10-14,824000
2031,Men,15-19,1167000
2031,Men,20-24,1325000
2031,Men,25-29,1379000
2031,Men,30-34,1714000
2031,Men,35-39,1932000
2031,Men,40-44,1731000
2031,Men,45-49,1878000
2031,Men,5-9,643000
2031,Men,50-54,1985000
2031,Men,55-59,2075000
2031,Men,60-64,2122000
2031,Men,65-69,1917000
2031,Men,70-74,1728000
2031,Men,75-79,1121000
2031,Men,80-84,657000
2031,Men,≥85,508000
2031,Women,0-4,629000
2031,Women,10-14,787000
2031,Women,15-19,1115000
2031,Women,20-24,1256000
2031,Women,25-29,1287000
2031,Women,30-34,1570000
2031,Women,35-39,1675000
2031,Women,40-44,1548000
2031,Women,45-49,1759000
2031,Women,5-9,615000
2031,Women,50-54,1918000
2031,Women,55-59,2051000
2031,Women,60-64,2173000
2031,Women,65-69,1998000
2031,Women,70-74,1927000
2031,Women,75-79,1354000
2031,Women,80-84,899000
2031,Women,≥85,1118000
2032,Men,0-4,665000
2032,Men,10-14,760000
2032,Men,15-19,1121000
2032,Men,20-24,1332000
2032,Men,25-29,1352000
2032,Men,30-34,1634000
2032,Men,35-39,1910000
2032,Men,40-44,1773000
2032,Men,45-49,1792000
2032,Men,5-9,643000
2032,Men,50-54,2022000
2032,Men,55-59,2002000
2032,Men,60-64,2155000
2032,Men,65-69,1894000
2032,Men,70-74,1790000
2032,Men,75-79,1205000
2032,Men,80-84,687000
2032,Men,≥85,536000
2032,Women,0-4,631000
2032,Women,10-14,727000
2032,Women,15-19,1072000
2032,Women,20-24,1266000
2032,Women,25-29,1273000
2032,Women,30-34,1504000
2032,Women,35-39,1664000
2032,Women,40-44,1573000
2032,Women,45-49,1667000
2032,Women,5-9,615000
2032,Women,50-54,1948000
2032,Women,55-59,1979000
2032,Women,60-64,2198000
2032,Women,65-69,1975000
2032,Women,70-74,1992000
2032,Women,75-79,1447000
2032,Women,80-84,936000
2032,Women,≥85,1154000
2033,Men,0-4,663000
2033,Men,10-14,710000
2033,Men,15-19,1064000
2033,Men,20-24,1326000
2033,Men,25-29,1348000
2033,Men,30-34,1552000
2033,Men,35-39,1861000
2033,Men,40-44,1826000
2033,Men,45-49,1723000
2033,Men,5-9,648000
2033,Men,50-54,2040000
2033,Men,55-59,1944000
2033,Men,60-64,2157000
2033,Men,65-69,1903000
2033,Men,70-74,1821000
2033,Men,75-79,1287000
2033,Men,80-84,719000
2033,Men,≥85,572000
2033,Women,0-4,629000
2033,Women,10-14,680000
2033,Women,15-19,1018000
2033,Women,20-24,1262000
2033,Women,25-29,1279000
2033,Women,30-34,1432000
2033,Women,35-39,1641000
2033,Women,40-44,1605000
2033,Women,45-49,1590000
2033,Women,5-9,621000
2033,Women,50-54,1959000
2033,Women,55-59,1918000
2033,Women,60-64,2186000
2033,Women,65-69,2001000
2033,Women,70-74,2017000
2033,Women,75-79,1535000
2033,Women,80-84,974000
2033,Women,≥85,1202000
2034,Men,0-4,659000
2034,Men,10-14,672000
2034,Men,15-19,1002000
2034,Men,20-24,1317000
2034,Men,25-29,1340000
2034,Men,30-34,1481000
2034,Men,35-39,1801000
2034,Men,40-44,1870000
2034,Men,45-49,1692000
2034,Men,5-9,658000
2034,Men,50-54,2012000
2034,Men,55-59,1907000
2034,Men,60-64,2134000
2034,Men,65-69,1942000
2034,Men,70-74,1825000
2034,Men,75-79,1372000
2034,Men,80-84,756000
2034,Men,≥85,605000
2034,Women,0-4,625000
2034,Women,10-14,645000
2034,Women,15-19,959000
2034,Women,20-24,1257000
2034,Women,25-29,1276000
2034,Women,30-34,1371000
2034,Women,35-39,1614000
2034,Women,40-44,1633000
2034,Women,45-49,1546000
2034,Women,5-9,629000
2034,Women,50-54,1924000
2034,Women,55-59,1875000
2034,Women,60-64,2156000
2034,Women,65-69,2053000
2034,Women,70-74,2013000
2034,Women,75-79,1631000
2034,Women,80-84,1020000
2034,Women,≥85,1246000
2035,Men,0-4,653000
2035,Men,10-14,653000
2035,Men,15-19,926000
2035,Men,20-24,1307000
2035,Men,25-29,1339000
2035,Men,30-34,1404000
2035,Men,35-39,1742000
2035,Men,40-44,1899000
2035,Men,45-49,1691000
2035,Men,5-9,664000
2035,Men,50-54,1941000
2035,Men,55-59,1914000
2035,Men,60-64,2090000
2035,Men,65-69,1983000
2035,Men,70-74,1803000
2035,Men,75-79,1452000
2035,Men,80-84,820000
2035,Men,≥85,636000
2035,Women,0-4,619000
2035,Women,10-14,627000
2035,Women,15-19,887000
2035,Women,20-24,1250000
2035,Women,25-29,1277000
2035,Women,30-34,1309000
2035,Women,35-39,1584000
2035,Women,40-44,1652000
2035,Women,45-49,1531000
2035,Women,5-9,635000
2035,Women,50-54,1843000
2035,Women,55-59,1878000
2035,Women,60-64,2107000
2035,Women,65-69,2095000
2035,Women,70-74,1978000
2035,Women,75-79,1724000
2035,Women,80-84,1102000
2035,Women,≥85,1287000
2036,Men,0-4,645000
2036,Men,10-14,647000
2036,Men,15-19,847000
2036,Men,20-24,1281000
2036,Men,25-29,1352000
2036,Men,30-34,1336000
2036,Men,35-39,1678000
2036,Men,40-44,1907000
2036,Men,45-49,1711000
2036,Men,5-9,668000
2036,Men,50-54,1855000
2036,Men,55-59,1951000
2036,Men,60-64,2018000
2036,Men,65-69,2021000
2036,Men,70-74,1776000
2036,Men,75-79,1530000
2036,Men,80-84,897000
2036,Men,≥85,658000
2036,Women,0-4,612000
2036,Women,10-14,622000
2036,Women,15-19,812000
2036,Women,20-24,1229000
2036,Women,25-29,1292000
2036,Women,30-34,1256000
2036,Women,35-39,1543000
2036,Women,40-44,1658000
2036,Women,45-49,1537000
2036,Women,5-9,638000
2036,Women,50-54,1749000
2036,Women,55-59,1908000
2036,Women,60-64,2032000
2036,Women,65-69,2134000
2036,Women,70-74,1932000
2036,Women,75-79,1814000
2036,Women,80-84,1202000
2036,Women,≥85,1320000
2037,Men,0-4,637000
2037,Men,10-14,645000
2037,Men,15-19,783000
2037,Men,20-24,1233000
2037,Men,25-29,1358000
2037,Men,30-34,1308000
2037,Men,35-39,1598000
2037,Men,40-44,1884000
2037,Men,45-49,1753000
2037,Men,5-9,669000
2037,Men,50-54,1770000
2037,Men,55-59,1988000
2037,Men,60-64,1947000
2037,Men,65-69,2054000
2037,Men,70-74,1757000
2037,Men,75-79,1586000
2037,Men,80-84,967000
2037,Men,≥85,692000
2037,Women,0-4,604000
2037,Women,10-14,621000
2037,Women,15-19,751000
2037,Women,20-24,1185000
2037,Women,25-29,1301000
2037,Women,30-34,1241000
2037,Women,35-39,1476000
2037,Women,40-44,1647000
2037,Women,45-49,1562000
2037,Women,5-9,639000
2037,Women,50-54,1658000
2037,Women,55-59,1937000
2037,Women,60-64,1961000
2037,Women,65-69,2159000
2037,Women,70-74,1910000
2037,Women,75-79,1876000
2037,Women,80-84,1286000
2037,Women,≥85,1370000
2038,Men,0-4,628000
2038,Men,10-14,651000
2038,Men,15-19,732000
2038,Men,20-24,1175000
2038,Men,25-29,1350000
2038,Men,30-34,1303000
2038,Men,35-39,1516000
2038,Men,40-44,1836000
2038,Men,45-49,1805000
2038,Men,5-9,667000
2038,Men,50-54,1702000
2038,Men,55-59,2006000
2038,Men,60-64,1892000
2038,Men,65-69,2056000
2038,Men,70-74,1767000
2038,Men,75-79,1615000
2038,Men,80-84,1035000
2038,Men,≥85,735000
2038,Women,0-4,596000
2038,Women,10-14,626000
2038,Women,15-19,704000
2038,Women,20-24,1129000
2038,Women,25-29,1295000
2038,Women,30-34,1245000
2038,Women,35-39,1404000
2038,Women,40-44,1624000
2038,Women,45-49,1594000
2038,Women,5-9,637000
2038,Women,50-54,1581000
2038,Women,55-59,1948000
2038,Women,60-64,1901000
2038,Women,65-69,2148000
2038,Women,70-74,1937000
2038,Women,75-79,1901000
2038,Women,80-84,1367000
2038,Women,≥85,1434000
2039,Men,0-4,621000
2039,Men,10-14,660000
2039,Men,15-19,694000
2039,Men,20-24,1112000
2039,Men,25-29,1340000
2039,Men,30-34,1294000
2039,Men,35-39,1443000
2039,Men,40-44,1776000
2039,Men,45-49,1849000
2039,Men,5-9,662000
2039,Men,50-54,1671000
2039,Men,55-59,1979000
2039,Men,60-64,1856000
2039,Men,65-69,2036000
2039,Men,70-74,1806000
2039,Men,75-79,1619000
2039,Men,80-84,1105000
2039,Men,≥85,781000
2039,Women,0-4,589000
2039,Women,10-14,634000
2039,Women,15-19,668000
2039,Women,20-24,1069000
2039,Women,25-29,1289000
2039,Women,30-34,1241000
2039,Women,35-39,1343000
2039,Women,40-44,1596000
2039,Women,45-49,1621000
2039,Women,5-9,633000
2039,Women,50-54,1537000
2039,Women,55-59,1913000
2039,Women,60-64,1858000
2039,Women,65-69,2118000
2039,Women,70-74,1988000
2039,Women,75-79,1897000
2039,Women,80-84,1454000
2039,Women,≥85,1500000
2040,Men,0-4,616000
2040,Men,10-14,665000
2040,Men,15-19,674000
2040,Men,20-24,1035000
2040,Men,25-29,1328000
