year,count
2022,208
2023,213
2024,218
2025,224
2026,230
2027,235
2028,240
2029,244
2030,250
2031,255
2032,259
2033,263
2034,266
2035,268
2036,270
2037,271
2038,272
2039,273
2040,273
2041,273
2042,273
2043,273
2044,273
2045,273
2046,272
2047,271
2048,270
2049,268
2050,265
