year,count
2022,210
2023,214
2024,218
2025,222
2026,227
2027,232
2028,238
2029,243
2030,249
2031,254
2032,260
2033,266
2034,270
2035,275
2036,278
2037,282
2038,285
2039,288
2040,290
2041,293
2042,295
2043,296
2044,296
2045,296
2046,296
2047,294
2048,293
2049,292
2050,291
2051,291
2052,291
2053,291
2054,291
2055,292
2056,293
2057,294
2058,295
2059,296
2060,297
2061,298
2062,299
2063,300
2064,300
2065,300
2066,300
2067,300
2068,300
2069,299
2070,299
