year,sex,age_band,population
2027,Women,70-74,484000
2027,Women,75-79,346000
2027,Women,80-84,281000
2027,Women,≥85,193000
2028,Men,0-4,838000
2028,Men,10-14,860000
2028,Men,15-19,826000
2028,Men,20-24,835000
2028,Men,25-29,931000
2028,Men,30-34,999000
2028,Men,35-39,983000
2028,Men,40-44,910000
2028,Men,45-49,830000
2028,Men,5-9,875000
2028,Men,50-54,834000
2028,Men,55-59,1045000
2028,Men,60-64,895000
2028,Men,65-69,647000
2028,Men,70-74,465000
2028,Men,75-79,237000
2028,Men,80-84,167000
2028,Men,≥85,81000
2028,Women,0-4,792000
2028,Women,10-14,816000
2028,Women,15-19,786000
2028,Women,20-24,799000
2028,Women,25-29,895000
2028,Women,30-34,965000
2028,Women,35-39,957000
2028,Women,40-44,892000
2028,Women,45-49,820000
2028,Women,5-9,828000
2028,Women,50-54,837000
2028,Women,55-59,1071000
2028,Women,60-64,944000
2028,Women,65-69,716000
2028,Women,70-74,548000
2028,Women,75-79,326000
2028,Women,80-84,281000
2028,Women,≥85,198000
2029,Men,0-4,823000
2029,Men,10-14,866000
2029,Men,15-19,827000
2029,Men,20-24,825000
2029,Men,25-29,908000
2029,Men,30-34,990000
2029,Men,35-39,993000
2029,Men,40-44,920000
2029,Men,45-49,846000
2029,Men,5-9,871000
2029,Men,50-54,802000
2029,Men,55-59,1015000
2029,Men,60-64,931000
2029,Men,65-69,665000
2029,Men,70-74,502000
2029,Men,75-79,241000
2029,Men,80-84,168000
2029,Men,≥85,85000
2029,Women,0-4,777000
2029,Women,10-14,821000
2029,Women,15-19,787000
2029,Women,20-24,789000
2029,Women,25-29,873000
2029,Women,30-34,956000
2029,Women,35-39,966000
2029,Women,40-44,902000
2029,Women,45-49,836000
2029,Women,5-9,825000
2029,Women,50-54,803000
2029,Women,55-59,1038000
2029,Women,60-64,980000
2029,Women,65-69,734000
2029,Women,70-74,591000
2029,Women,75-79,323000
2029,Women,80-84,279000
2029,Women,≥85,204000
2030,Men,0-4,806000
2030,Men,10-14,870000
2030,Men,15-19,833000
2030,Men,20-24,819000
2030,Men,25-29,883000
2030,Men,30-34,978000
2030,Men,35-39,999000
2030,Men,40-44,932000
2030,Men,45-49,862000
2030,Men,5-9,866000
2030,Men,50-54,783000
2030,Men,55-59,972000
2030,Men,60-64,965000
2030,Men,65-69,692000
2030,Men,70-74,524000
2030,Men,75-79,253000
2030,Men,80-84,171000
2030,Men,≥85,90000
2030,Women,0-4,761000
2030,Women,10-14,825000
2030,Women,15-19,793000
2030,Women,20-24,782000
2030,Women,25-29,848000
2030,Women,30-34,944000
2030,Women,35-39,971000
2030,Women,40-44,913000
2030,Women,45-49,851000
2030,Women,5-9,819000
2030,Women,50-54,784000
2030,Women,55-59,993000
2030,Women,60-64,1013000
2030,Women,65-69,761000
2030,Women,70-74,615000
2030,Women,75-79,330000
2030,Women,80-84,278000
2030,Women,≥85,207000
2031,Men,0-4,789000
2031,Men,10-14,873000
2031,Men,15-19,841000
2031,Men,20-24,815000
2031,Men,25-29,859000
2031,Men,30-34,962000
2031,Men,35-39,1000000
2031,Men,40-44,945000
2031,Men,45-49,875000
2031,Men,5-9,858000
