year,observed,pop_rate
2015,61,0
2016,260,0
2017,359,0
2018,542,0
2019,724,0
2020,763,0
2021,1084,0
2022,1121,0
2023,2283,0
2024,1862,0
2025,0,2073
2026,0,2182
2027,0,2291
2028,0,2401
2029,0,2510
2030,0,2620
2031,0,2782
2032,0,2944
2033,0,3106
2034,0,3267
2035,0,3429
