year,observed,pop_rate
2015,1840,0
2016,2179,0
2017,1949,0
2018,2169,0
2019,2118,0
2020,2195,0
2021,2321,0
2022,2023,0
2023,2620,0
2024,2158,0
2025,0,2193
2026,0,2259
2027,0,2324
2028,0,2390
2029,0,2455
2030,0,2521
2031,0,2564
2032,0,2607
2033,0,2651
2034,0,2694
2035,0,2737
