year,tis_before,redo_target,tis_after
2022,17,1,16
2023,20,1,19
2024,25,1,24
2025,29,1,28
2026,77,1,76
2027,98,1,97
2028,123,1,122
2029,140,1,139
2030,151,1,150
2031,157,1,156
2032,160,1,159
2033,156,2,154
2034,151,2,149
2035,147,2,145
2036,133,2,131
2037,126,2,124
2038,117,2,115
2039,108,2,106
2040,103,2,101
2041,99,2,97
2042,93,2,91
2043,90,2,88
2044,86,2,84
2045,86,2,84
2046,86,2,84
2047,87,2,85
2048,85,2,83
2049,87,2,85
2050,88,2,86
