year,sex,age_band,population
2037,Women,55-59,2060432.907955471
2037,Men,60-64,1733854.2920445288
2037,Women,60-64,2060432.907955471
2037,Men,65-69,1890918.8161824597
2037,Women,65-69,2247081.1838175403
2037,Men,70-74,1707233.8530066814
2037,Women,70-74,2144766.1469933186
2037,Men,75-79,1216921.225382932
2037,Women,75-79,1652078.774617068
2037,Men,80-84,1216921.225382932
2037,Women,80-84,1652078.774617068
2037,Men,≥85,761442.7996364108
2037,Women,≥85,1409557.2003635892
2038,Men,50-54,1714584.3522776572
2038,Women,50-54,2031498.0477223427
2038,Men,55-59,1714070.0798264642
2038,Women,55-59,2030888.7201735356
2038,Men,60-64,1714070.0798264642
2038,Women,60-64,2030888.7201735356
2038,Men,65-69,1900373.1019522776
2038,Women,65-69,2251626.8980477224
2038,Men,70-74,1732444.4444444445
2038,Women,70-74,2165555.5555555555
2038,Men,75-79,1279650.9120110131
2038,Women,75-79,1721349.0879889869
2038,Men,80-84,1279650.9120110131
2038,Women,80-84,1721349.0879889869
2038,Men,≥85,803166.3440443927
2038,Women,≥85,1460833.6559556073
2039,Men,50-54,1694714.1796913077
2039,Women,50-54,2002025.020308692
2039,Men,55-59,1694205.8670999187
2039,Women,55-59,2001424.5329000812
2039,Men,60-64,1694205.8670999187
2039,Women,60-64,2001424.5329000812
2039,Men,65-69,1909839.696723531
2039,Women,65-69,2256160.303276469
2039,Men,70-74,1757747.2283813744
2039,Women,70-74,2186252.7716186256
2039,Men,75-79,1342918.8664152669
2039,Women,75-79,1790081.1335847331
2039,Men,80-84,1342918.8664152669
2039,Women,80-84,1790081.1335847331
2039,Men,≥85,845521.2261126076
2039,Women,≥85,1511478.7738873924
2040,Men,50-54,1674764.3071930774
2040,Women,50-54,1972631.6928069221
2040,Men,55-59,1674261.9783666849
2040,Women,55-59,1972040.0216333151
2040,Men,60-64,1674261.9783666849
2040,Women,60-64,1972040.0216333151
2040,Men,65-69,1919318.5505678747
2040,Women,65-69,2260681.4494321253
2040,Men,70-74,1783141.5929203536
2040,Women,70-74,2206858.4070796464
2040,Men,75-79,1406718.8389299945
2040,Women,75-79,1858281.1610700055
2040,Men,80-84,1406718.8389299945
2040,Women,80-84,1858281.1610700055
2040,Men,≥85,888495.8572339069
2040,Women,≥85,1561504.1427660931
2041,Men,50-54,1668018.2216216216
2041,Women,50-54,1962374.378378378
2041,Men,55-59,1667517.9162162163
2041,Women,55-59,1961785.7837837834
2041,Men,60-64,1667517.9162162163
2041,Women,60-64,1961785.7837837834
2041,Men,65-69,1900324.3243243243
2041,Women,65-69,2235675.6756756757
2041,Men,70-74,1769313.3462282396
2041,Women,70-74,2185686.6537717604
2041,Men,75-79,1424578.8994997726
2041,Women,75-79,1876421.1005002274
2041,Men,80-84,1424578.8994997726
2041,Women,80-84,1876421.1005002274
2041,Men,≥85,961041.6560833121
2041,Women,≥85,1671958.3439166879
2042,Men,50-54,1661261.053052404
2042,Women,50-54,1952128.1469475958
2042,Men,55-59,1660762.7743922204
2042,Women,55-59,1951542.6256077795
2042,Men,60-64,1660762.7743922204
2042,Women,60-64,1951542.6256077795
2042,Men,65-69,1881303.0794165316
2042,Women,65-69,2210696.9205834684
2042,Men,70-74,1755450.0276090559
2042,Women,70-74,2164549.972390944
2042,Men,75-79,1442484.2738730556
2042,Women,75-79,1894515.7261269444
2042,Men,80-84,1442484.2738730556
2042,Women,80-84,1894515.7261269444
2042,Men,≥85,1034398.076679742
2042,Women,≥85,1781601.923320258
2043,Men,50-54,1654492.8194384447
2043,Women,50-54,1941892.9805615551
2043,Men,55-59,1653996.5708423322
2043,Women,55-59,1941310.5291576674
2043,Men,60-64,1653996.5708423322
2043,Women,60-64,1941310.5291576674
2043,Men,65-69,1862254.859611231
2043,Women,65-69,2185745.140388769
2043,Men,70-74,1741551.7241379311
2043,Women,70-74,2143448.275862069
2043,Men,75-79,1460434.7924699476
2043,Women,75-79,1912565.2075300524
2043,Men,80-84,1460434.7924699476
2043,Women,80-84,1912565.2075300524
2043,Men,≥85,1108556.2279374686
2043,Women,≥85,1890443.7720625314
2044,Men,50-54,1647713.5386940099
2044,Women,50-54,1931668.86130599
2044,Men,55-59,1647219.3234754454
2044,Women,55-59,1931089.4765245544
2044,Men,60-64,1647219.3234754454
2044,Women,60-64,1931089.4765245544
2044,Men,65-69,1843179.7085806802
2044,Women,65-69,2160820.29141932
2044,Men,70-74,1727618.5226019844
2044,Women,70-74,2122381.4773980156
2044,Men,75-79,1478430.2865556688
2044,Women,75-79,1930569.7134443312
2044,Men,80-84,1478430.2865556688
2044,Women,80-84,1930569.7134443312
2044,Men,≥85,1183507.348323075
2044,Women,≥85,1998492.651676925
2045,Men,50-54,1640923.228694714
2045,Women,50-54,1921455.7713052856
2045,Men,55-59,1640431.0501618125
2045,Women,55-59,1920879.4498381875
2045,Men,60-64,1640431.0501618125
2045,Women,60-64,1920879.4498381875
2045,Men,65-69,1824077.6699029128
2045,Women,65-69,2135922.330097087
2045,Men,70-74,1713650.509501515
2045,Women,70-74,2101349.490498485
2045,Men,75-79,1496470.5882352942
2045,Women,75-79,1948529.4117647058
2045,Men,80-84,1496470.5882352942
2045,Women,80-84,1948529.4117647058
2045,Men,≥85,1259242.8035043804
2045,Women,≥85,2105757.1964956196
2046,Men,50-54,1634121.9072776278
2046,Women,50-54,1911253.6927223718
2046,Men,55-59,1633631.7687331536
2046,Women,55-59,1910680.4312668461
2046,Men,60-64,1633631.7687331536
2046,Women,60-64,1910680.4312668461
2046,Men,65-69,1804948.7870619944
2046,Women,65-69,2111051.2129380056
2046,Men,70-74,1699647.7710511836
2046,Women,70-74,2080352.2289488164
2046,Men,75-79,1514555.5304485369
2046,Women,75-79,1966444.4695514631
2046,Men,80-84,1514555.5304485369
2046,Women,80-84,1966444.4695514631
2046,Men,≥85,1335754.0840503806
2046,Women,≥85,2212245.9159496194
2047,Men,50-54,1627309.5922413792
2047,Women,50-54,1901062.6077586205
2047,Men,55-59,1626821.4969827586
2047,Women,55-59,1900492.4030172413
2047,Men,60-64,1626821.4969827586
2047,Women,60-64,1900492.4030172413
2047,Men,65-69,1785793.103448276
2047,Women,65-69,2086206.896551724
2047,Men,70-74,1685610.3931811932
2047,Women,70-74,2059389.6068188068
2047,Men,75-79,1532684.946964568
2047,Women,75-79,1984315.053035432
2047,Men,80-84,1532684.946964568
2047,Women,80-84,1984315.053035432
2047,Men,≥85,1413032.8031809144
2047,Women,≥85,2317967.1968190856
2048,Men,50-54,1620486.3013462573
2048,Women,50-54,1890882.4986537425
2048,Men,55-59,1620000.2526655896
2048,Women,55-59,1890315.34733441
2048,Men,60-64,1620000.2526655896
2048,Women,60-64,1890315.34733441
2048,Men,65-69,1766610.662358643
2048,Women,65-69,2061389.337641357
2048,Men,70-74,1671538.4615384613
2048,Women,70-74,2038461.5384615387
2048,Men,75-79,1550858.6723768737
2048,Women,75-79,2002141.3276231263
2048,Men,80-84,1550858.6723768737
2048,Women,80-84,2002141.3276231263
2048,Men,≥85,1491070.6945648137
2048,Women,≥85,2422929.3054351863
2049,Men,50-54,1613652.0523143166
2049,Women,50-54,1880713.3476856833
2049,Men,55-59,1613168.0534983855
2049,Women,55-59,1880149.2465016143
2049,Men,60-64,1613168.0534983855
2049,Women,60-64,1880149.2465016143
2049,Men,65-69,1747401.5069967709
2049,Women,65-69,2036598.4930032291
2049,Men,70-74,1657432.0614877846
2049,Women,70-74,2017567.9385122154
2049,Men,75-79,1569076.542098154
2049,Women,75-79,2019923.457901846
2049,Men,80-84,1569076.542098154
2049,Women,80-84,2019923.457901846
2049,Men,≥85,1569859.6101653096
2049,Women,≥85,2527140.3898346904
2050,Men,50-54,1606806.862829478
2050,Women,50-54,1870555.1371705215
2050,Men,55-59,1606324.9171597634
2050,Women,55-59,1869994.0828402366
2050,Men,60-64,1606324.9171597634
2050,Women,60-64,1869994.0828402366
2050,Men,65-69,1728165.6804733728
2050,Women,65-69,2011834.3195266272
2050,Men,70-74,1643291.2781130006
2050,Women,70-74,1996708.7218869994
2050,Men,75-79,1587338.3923552555
2050,Women,75-79,2037661.6076447445
2050,Men,80-84,1587338.3923552555
2050,Women,80-84,2037661.6076447445
2050,Men,≥85,1649391.5181315304
2050,Women,≥85,2630608.4818684696
