year,tis_before,redo_target,tis_after
2015,69,113.0,0
2016,100,151.0,0
2017,141,171.0,0
2018,177,190.0,0
2019,216,177.0,39
2020,261,197.0,64
2021,315,183.0,132
2022,372,172.0,200
2023,426,220.0,206
2024,494,,494
2025,492,,492
2026,532,,532
2027,551,,551
2028,550,,550
2029,553,,553
2030,538,,538
2031,511,,511
2032,481,,481
2033,446,,446
2034,406,,406
2035,373,,373
