sex,age_band,year,count,src
Men,<5yr,2017,0,observed
Men,>=80,2017,13,observed
Women,10-14,2017,0,observed
Women,15-19,2017,0,observed
Women,20-24,2017,0,observed
Women,25-29,2017,0,observed
Women,30-34,2017,0,observed
Women,35-39,2017,1,observed
Women,40-44,2017,0,observed
Women,45-49,2017,0,observed
Women,5-9,2017,0,observed
Women,50-54,2017,0,observed
Women,55-59,2017,0,observed
Women,60-64,2017,2,observed
Women,65-69,2017,6,observed
Women,70-74,2017,9,observed
Women,75-79,2017,7,observed
Women,<5yr,2017,0,observed
Women,>=80,2017,15,observed
Men,10-14,2018,0,observed
Men,15-19,2018,0,observed
Men,20-24,2018,0,observed
Men,25-29,2018,0,observed
Men,30-34,2018,0,observed
Men,35-39,2018,0,observed
Men,40-44,2018,0,observed
Men,45-49,2018,0,observed
Men,5-9,2018,0,observed
Men,50-54,2018,0,observed
Men,55-59,2018,0,observed
Men,60-64,2018,1,observed
Men,65-69,2018,2,observed
Men,70-74,2018,7,observed
Men,75-79,2018,4,observed
Men,<5yr,2018,0,observed
Men,>=80,2018,29,observed
Women,10-14,2018,0,observed
Women,15-19,2018,0,observed
Women,20-24,2018,0,observed
Women,25-29,2018,0,observed
Women,30-34,2018,0,observed
Women,35-39,2018,0,observed
Women,40-44,2018,0,observed
Women,45-49,2018,0,observed
Women,5-9,2018,0,observed
Women,50-54,2018,0,observed
Women,55-59,2018,0,observed
Women,60-64,2018,2,observed
Women,65-69,2018,1,observed
Women,70-74,2018,8,observed
Women,75-79,2018,6,observed
Women,<5yr,2018,0,observed
Women,>=80,2018,16,observed
Men,10-14,2019,0,observed
Men,15-19,2019,0,observed
Men,20-24,2019,0,observed
Men,25-29,2019,0,observed
Men,30-34,2019,0,observed
Men,35-39,2019,0,observed
Men,40-44,2019,0,observed
Men,45-49,2019,0,observed
Men,5-9,2019,0,observed
Men,50-54,2019,1,observed
Men,55-59,2019,0,observed
Men,60-64,2019,2,observed
Men,65-69,2019,4,observed
Men,70-74,2019,5,observed
Men,75-79,2019,7,observed
Men,<5yr,2019,0,observed
Men,>=80,2019,15,observed
Women,10-14,2019,0,observed
Women,15-19,2019,0,observed
Women,20-24,2019,0,observed
Women,25-29,2019,0,observed
Women,30-34,2019,0,observed
Women,35-39,2019,0,observed
Women,40-44,2019,0,observed
Women,45-49,2019,0,observed
Women,5-9,2019,0,observed
Women,50-54,2019,0,observed
Women,55-59,2019,0,observed
Women,60-64,2019,1,observed
Women,65-69,2019,1,observed
Women,70-74,2019,6,observed
Women,75-79,2019,6,observed
Women,<5yr,2019,0,observed
Women,>=80,2019,22,observed
Men,10-14,2020,0,observed
Men,15-19,2020,0,observed
Men,20-24,2020,0,observed
Men,25-29,2020,0,observed
Men,30-34,2020,0,observed
Men,35-39,2020,0,observed
Men,40-44,2020,0,observed
Men,45-49,2020,0,observed
Men,5-9,2020,0,observed
Men,50-54,2020,1,observed
Men,55-59,2020,1,observed
Men,60-64,2020,1,observed
Men,65-69,2020,5,observed
Men,70-74,2020,7,observed
Men,75-79,2020,7,observed
Men,<5yr,2020,0,observed
Men,>=80,2020,27,observed
Women,10-14,2020,0,observed
Women,15-19,2020,0,observed
Women,20-24,2020,0,observed
Women,25-29,2020,0,observed
Women,30-34,2020,1,observed
Women,35-39,2020,0,observed
Women,40-44,2020,0,observed
Women,45-49,2020,0,observed
Women,5-9,2020,0,observed
Women,50-54,2020,0,observed
Women,55-59,2020,1,observed
Women,60-64,2020,3,observed
Women,65-69,2020,4,observed
Women,70-74,2020,8,observed
Women,75-79,2020,11,observed
Women,<5yr,2020,0,observed
Women,>=80,2020,18,observed
Men,10-14,2021,0,observed
Men,15-19,2021,0,observed
Men,20-24,2021,0,observed
Men,25-29,2021,0,observed
Men,30-34,2021,0,observed
Men,35-39,2021,0,observed
Men,40-44,2021,0,observed
Men,45-49,2021,0,observed
Men,5-9,2021,0,observed
Men,50-54,2021,0,observed
Men,55-59,2021,3,observed
Men,60-64,2021,3,observed
Men,65-69,2021,4,observed
Men,70-74,2021,8,observed
Men,75-79,2021,9,observed
Men,<5yr,2021,0,observed
Men,>=80,2021,28,observed
Women,10-14,2021,0,observed
Women,15-19,2021,0,observed
Women,20-24,2021,0,observed
Women,25-29,2021,0,observed
Women,30-34,2021,0,observed
Women,35-39,2021,0,observed
Women,40-44,2021,1,observed
Women,45-49,2021,0,observed
Women,5-9,2021,0,observed
Women,50-54,2021,1,observed
Women,55-59,2021,2,observed
Women,60-64,2021,1,observed
Women,65-69,2021,7,observed
Women,70-74,2021,12,observed
Women,75-79,2021,12,observed
Women,<5yr,2021,0,observed
Women,>=80,2021,28,observed
Men,10-14,2022,0,observed
Men,15-19,2022,0,observed
Men,20-24,2022,0,observed
Men,25-29,2022,0,observed
Men,30-34,2022,0,observed
Men,35-39,2022,0,observed
Men,40-44,2022,0,observed
Men,45-49,2022,0,observed
Men,5-9,2022,0,observed
Men,50-54,2022,0,observed
Men,55-59,2022,1,observed
Men,60-64,2022,2,observed
Men,65-69,2022,5,observed
Men,70-74,2022,17,observed
Men,75-79,2022,11,observed
Men,<5yr,2022,0,observed
Men,>=80,2022,24,observed
Women,10-14,2022,0,observed
Women,15-19,2022,0,observed
Women,20-24,2022,0,observed
Women,25-29,2022,0,observed
Women,30-34,2022,0,observed
Women,35-39,2022,0,observed
Women,40-44,2022,0,observed
Women,45-49,2022,0,observed
Women,5-9,2022,0,observed
Women,50-54,2022,0,observed
Women,55-59,2022,0,observed
Women,60-64,2022,1,observed
Women,65-69,2022,4,observed
Women,70-74,2022,12,observed
Women,75-79,2022,19,observed
Women,<5yr,2022,0,observed
Women,>=80,2022,25,observed
Men,10-14,2023,0,observed
Men,15-19,2023,0,observed
Men,20-24,2023,0,observed
Men,25-29,2023,0,observed
Men,30-34,2023,0,observed
Men,35-39,2023,0,observed
Men,40-44,2023,0,observed
Men,45-49,2023,0,observed
Men,5-9,2023,0,observed
Men,50-54,2023,0,observed
Men,55-59,2023,0,observed
Men,60-64,2023,2,observed
Men,65-69,2023,6,observed
Men,70-74,2023,12,observed
Men,75-79,2023,24,observed
Men,<5yr,2023,0,observed
Men,>=80,2023,24,observed
Women,10-14,2023,0,observed
Women,15-19,2023,0,observed
Women,20-24,2023,0,observed
Women,25-29,2023,0,observed
Women,30-34,2023,0,observed
Women,35-39,2023,0,observed
Women,40-44,2023,0,observed
Women,45-49,2023,0,observed
Women,5-9,2023,0,observed
Women,50-54,2023,0,observed
Women,55-59,2023,0,observed
Women,60-64,2023,2,observed
Women,65-69,2023,8,observed
Women,70-74,2023,13,observed
Women,75-79,2023,15,observed
Women,<5yr,2023,0,observed
Women,>=80,2023,22,observed
Men,10-14,2024,0,observed
Men,15-19,2024,0,observed
Men,20-24,2024,0,observed
Men,25-29,2024,0,observed
Men,30-34,2024,0,observed
Men,35-39,2024,0,observed
Men,40-44,2024,0,observed
Men,45-49,2024,0,observed
Men,5-9,2024,0,observed
Men,50-54,2024,0,observed
Men,55-59,2024,2,observed
Men,60-64,2024,3,observed
Men,65-69,2024,11,observed
Men,70-74,2024,10,observed
Men,75-79,2024,26,observed
Men,<5yr,2024,0,observed
Men,>=80,2024,31,observed
Women,10-14,2024,0,observed
Women,15-19,2024,0,observed
Women,20-24,2024,0,observed
Women,25-29,2024,0,observed
Women,30-34,2024,0,observed
Women,35-39,2024,0,observed
Women,40-44,2024,0,observed
Women,45-49,2024,1,observed
Women,5-9,2024,0,observed
Women,50-54,2024,0,observed
Women,55-59,2024,2,observed
Women,60-64,2024,1,observed
Women,65-69,2024,11,observed
Women,70-74,2024,13,observed
Women,75-79,2024,17,observed
Women,<5yr,2024,0,observed
Women,>=80,2024,15,observed
U,<5yr,2025,97,extrap
U,5-9,2025,93,extrap
U,10-14,2025,91,extrap
U,15-19,2025,125,extrap
U,20-24,2025,210,extrap
U,25-29,2025,246,extrap
U,30-34,2025,241,extrap
U,35-39,2025,209,extrap
U,40-44,2025,179,extrap
U,45-49,2025,158,extrap
U,50-54,2025,148,extrap
U,55-59,2025,134,extrap
U,60-64,2025,131,extrap
U,65-69,2025,117,extrap
U,70-74,2025,92,extrap
U,75-79,2025,65,extrap
U,>=80,2025,67,extrap
U,<5yr,2026,113,extrap
U,5-9,2026,107,extrap
U,10-14,2026,105,extrap
U,15-19,2026,130,extrap
U,20-24,2026,228,extrap
U,25-29,2026,281,extrap
U,30-34,2026,281,extrap
U,35-39,2026,251,extrap
U,40-44,2026,210,extrap
U,45-49,2026,187,extrap
U,50-54,2026,173,extrap
U,55-59,2026,155,extrap
U,60-64,2026,152,extrap
U,65-69,2026,138,extrap
U,70-74,2026,111,extrap
U,75-79,2026,81,extrap
U,>=80,2026,80,extrap
U,<5yr,2027,132,extrap
U,5-9,2027,123,extrap
U,10-14,2027,121,extrap
U,15-19,2027,134,extrap
U,20-24,2027,240,extrap
U,25-29,2027,314,extrap
U,30-34,2027,320,extrap
U,35-39,2027,294,extrap
U,40-44,2027,242,extrap
U,45-49,2027,216,extrap
U,50-54,2027,197,extrap
U,55-59,2027,179,extrap
U,60-64,2027,172,extrap
U,65-69,2027,158,extrap
U,70-74,2027,132,extrap
U,75-79,2027,95,extrap
U,>=80,2027,99,extrap
U,<5yr,2028,149,extrap
U,5-9,2028,138,extrap
U,10-14,2028,135,extrap
U,15-19,2028,142,extrap
U,20-24,2028,246,extrap
U,25-29,2028,342,extrap
U,30-34,2028,358,extrap
U,35-39,2028,337,extrap
U,40-44,2028,279,extrap
U,45-49,2028,247,extrap
U,50-54,2028,221,extrap
U,55-59,2028,204,extrap
U,60-64,2028,191,extrap
U,65-69,2028,180,extrap
U,70-74,2028,152,extrap
U,75-79,2028,111,extrap
U,>=80,2028,119,extrap
U,<5yr,2029,166,extrap
U,5-9,2029,154,extrap
U,10-14,2029,150,extrap
U,15-19,2029,151,extrap
U,20-24,2029,247,extrap
U,25-29,2029,363,extrap
U,30-34,2029,393,extrap
U,35-39,2029,377,extrap
U,40-44,2029,319,extrap
U,45-49,2029,278,extrap
U,50-54,2029,246,extrap
U,55-59,2029,230,extrap
U,60-64,2029,210,extrap
U,65-69,2029,200,extrap
U,70-74,2029,173,extrap
U,75-79,2029,127,extrap
U,>=80,2029,140,extrap
U,<5yr,2030,182,extrap
U,5-9,2030,169,extrap
U,10-14,2030,164,extrap
U,15-19,2030,164,extrap
U,20-24,2030,244,extrap
U,25-29,2030,378,extrap
U,30-34,2030,426,extrap
U,35-39,2030,416,extrap
U,40-44,2030,362,extrap
U,45-49,2030,310,extrap
U,50-54,2030,273,extrap
U,55-59,2030,255,extrap
U,60-64,2030,228,extrap
U,65-69,2030,220,extrap
U,70-74,2030,192,extrap
U,75-79,2030,145,extrap
U,>=80,2030,165,extrap
U,<5yr,2031,197,extrap
U,5-9,2031,186,extrap
U,10-14,2031,177,extrap
U,15-19,2031,178,extrap
U,20-24,2031,240,extrap
U,25-29,2031,384,extrap
U,30-34,2031,454,extrap
U,35-39,2031,454,extrap
U,40-44,2031,406,extrap
U,45-49,2031,339,extrap
U,50-54,2031,301,extrap
U,55-59,2031,279,extrap
U,60-64,2031,248,extrap
U,65-69,2031,239,extrap
U,70-74,2031,212,extrap
U,75-79,2031,164,extrap
U,>=80,2031,190,extrap
U,<5yr,2032,210,extrap
U,5-9,2032,204,extrap
U,10-14,2032,189,extrap
U,15-19,2032,192,extrap
U,20-24,2032,238,extrap
U,25-29,2032,383,extrap
U,30-34,2032,478,extrap
U,35-39,2032,489,extrap
U,40-44,2032,451,extrap
U,45-49,2032,369,extrap
U,50-54,2032,330,extrap
U,55-59,2032,300,extrap
U,60-64,2032,270,extrap
U,65-69,2032,257,extrap
U,70-74,2032,231,extrap
U,75-79,2032,183,extrap
U,>=80,2032,217,extrap
U,<5yr,2033,222,extrap
U,5-9,2033,220,extrap
U,10-14,2033,203,extrap
U,15-19,2033,205,extrap
U,20-24,2033,240,extrap
U,25-29,2033,376,extrap
U,30-34,2033,497,extrap
U,35-39,2033,520,extrap
U,40-44,2033,490,extrap
U,45-49,2033,405,extrap
U,50-54,2033,360,extrap
