year,tis_before,redo_target,tis_after
2025,358,0,358
2026,375,0,375
2027,393,0,393
2028,406,0,406
2029,424,0,424
2030,446,0,446
2031,455,0,455
2032,474,0,474
2033,486,0,486
2034,516,0,516
2035,524,0,524
