sex,age_band,year,count,src
Women,25-29,2023,1,observed
Women,30-34,2023,3,observed
Women,35-39,2023,1,observed
Women,40-44,2023,3,observed
Women,45-49,2023,3,observed
Women,50-54,2023,8,observed
Women,55-59,2023,8,observed
Women,60-64,2023,13,observed
Women,65-69,2023,18,observed
Women,70-74,2023,13,observed
Women,75-79,2023,9,observed
Women,>=80,2023,10,observed
U,50-54,2024,8,pop_rate
U,55-59,2024,10,pop_rate
U,60-64,2024,24,pop_rate
U,65-69,2024,42,pop_rate
U,70-74,2024,74,pop_rate
U,75-79,2024,183,pop_rate
U,>=80,2024,757,pop_rate
U,50-54,2025,7,pop_rate
U,55-59,2025,11,pop_rate
U,60-64,2025,24,pop_rate
U,65-69,2025,44,pop_rate
U,70-74,2025,76,pop_rate
U,75-79,2025,184,pop_rate
U,>=80,2025,780,pop_rate
U,50-54,2026,7,pop_rate
U,55-59,2026,11,pop_rate
U,60-64,2026,26,pop_rate
U,65-69,2026,45,pop_rate
U,70-74,2026,81,pop_rate
U,75-79,2026,176,pop_rate
U,>=80,2026,800,pop_rate
U,50-54,2027,7,pop_rate
U,55-59,2027,11,pop_rate
U,60-64,2027,27,pop_rate
U,65-69,2027,46,pop_rate
U,70-74,2027,93,pop_rate
U,75-79,2027,161,pop_rate
U,>=80,2027,823,pop_rate
U,50-54,2028,6,pop_rate
U,55-59,2028,11,pop_rate
U,60-64,2028,29,pop_rate
U,65-69,2028,46,pop_rate
U,70-74,2028,105,pop_rate
U,75-79,2028,153,pop_rate
U,>=80,2028,838,pop_rate
U,50-54,2029,6,pop_rate
U,55-59,2029,11,pop_rate
U,60-64,2029,30,pop_rate
U,65-69,2029,47,pop_rate
U,70-74,2029,113,pop_rate
U,75-79,2029,154,pop_rate
U,>=80,2029,847,pop_rate
U,50-54,2030,6,pop_rate
U,55-59,2030,10,pop_rate
U,60-64,2030,31,pop_rate
U,65-69,2030,49,pop_rate
U,70-74,2030,118,pop_rate
U,75-79,2030,159,pop_rate
U,>=80,2030,859,pop_rate
U,50-54,2031,6,pop_rate
U,55-59,2031,10,pop_rate
U,60-64,2031,31,pop_rate
U,65-69,2031,51,pop_rate
U,70-74,2031,122,pop_rate
U,75-79,2031,172,pop_rate
U,>=80,2031,847,pop_rate
U,50-54,2032,6,pop_rate
U,55-59,2032,9,pop_rate
U,60-64,2032,32,pop_rate
U,65-69,2032,55,pop_rate
U,70-74,2032,123,pop_rate
U,75-79,2032,195,pop_rate
U,>=80,2032,813,pop_rate
U,50-54,2033,6,pop_rate
U,55-59,2033,8,pop_rate
U,60-64,2033,32,pop_rate
U,65-69,2033,58,pop_rate
U,70-74,2033,124,pop_rate
U,75-79,2033,222,pop_rate
U,>=80,2033,798,pop_rate
U,50-54,2034,6,pop_rate
U,55-59,2034,8,pop_rate
U,60-64,2034,30,pop_rate
U,65-69,2034,60,pop_rate
U,70-74,2034,128,pop_rate
U,75-79,2034,240,pop_rate
U,>=80,2034,806,pop_rate
U,50-54,2035,6,pop_rate
U,55-59,2035,8,pop_rate
U,60-64,2035,29,pop_rate
U,65-69,2035,62,pop_rate
U,70-74,2035,133,pop_rate
U,75-79,2035,250,pop_rate
U,>=80,2035,833,pop_rate
U,50-54,2036,6,pop_rate
U,55-59,2036,8,pop_rate
U,60-64,2036,28,pop_rate
U,65-69,2036,63,pop_rate
U,70-74,2036,140,pop_rate
U,75-79,2036,258,pop_rate
U,>=80,2036,865,pop_rate
U,50-54,2037,6,pop_rate
U,55-59,2037,8,pop_rate
U,60-64,2037,26,pop_rate
U,65-69,2037,64,pop_rate
U,70-74,2037,149,pop_rate
U,75-79,2037,262,pop_rate
U,>=80,2037,915,pop_rate
U,50-54,2038,6,pop_rate
U,55-59,2038,8,pop_rate
U,60-64,2038,24,pop_rate
U,65-69,2038,64,pop_rate
U,70-74,2038,157,pop_rate
U,75-79,2038,265,pop_rate
U,>=80,2038,988,pop_rate
U,50-54,2039,7,pop_rate
U,55-59,2039,8,pop_rate
U,60-64,2039,23,pop_rate
U,65-69,2039,62,pop_rate
U,70-74,2039,163,pop_rate
U,75-79,2039,273,pop_rate
U,>=80,2039,1048,pop_rate
U,50-54,2040,7,pop_rate
U,55-59,2040,8,pop_rate
U,60-64,2040,23,pop_rate
U,65-69,2040,59,pop_rate
U,70-74,2040,169,pop_rate
U,75-79,2040,285,pop_rate
U,>=80,2040,1094,pop_rate
U,50-54,2041,7,pop_rate
U,55-59,2041,8,pop_rate
U,60-64,2041,23,pop_rate
U,65-69,2041,56,pop_rate
U,70-74,2041,173,pop_rate
U,75-79,2041,300,pop_rate
U,>=80,2041,1138,pop_rate
U,50-54,2042,7,pop_rate
U,55-59,2042,9,pop_rate
U,60-64,2042,23,pop_rate
U,65-69,2042,52,pop_rate
U,70-74,2042,175,pop_rate
U,75-79,2042,319,pop_rate
U,>=80,2042,1184,pop_rate
U,50-54,2043,7,pop_rate
U,55-59,2043,9,pop_rate
U,60-64,2043,23,pop_rate
U,65-69,2043,49,pop_rate
U,70-74,2043,174,pop_rate
U,75-79,2043,338,pop_rate
U,>=80,2043,1240,pop_rate
U,50-54,2044,7,pop_rate
U,55-59,2044,9,pop_rate
U,60-64,2044,24,pop_rate
U,65-69,2044,47,pop_rate
U,70-74,2044,169,pop_rate
U,75-79,2044,352,pop_rate
U,>=80,2044,1302,pop_rate
U,50-54,2045,7,pop_rate
U,55-59,2045,9,pop_rate
U,60-64,2045,24,pop_rate
U,65-69,2045,46,pop_rate
U,70-74,2045,162,pop_rate
U,75-79,2045,366,pop_rate
U,>=80,2045,1365,pop_rate
U,50-54,2046,7,pop_rate
U,55-59,2046,9,pop_rate
U,60-64,2046,25,pop_rate
U,65-69,2046,46,pop_rate
U,70-74,2046,153,pop_rate
U,75-79,2046,375,pop_rate
U,>=80,2046,1434,pop_rate
U,50-54,2047,7,pop_rate
U,55-59,2047,9,pop_rate
U,60-64,2047,25,pop_rate
U,65-69,2047,47,pop_rate
U,70-74,2047,143,pop_rate
U,75-79,2047,380,pop_rate
U,>=80,2047,1516,pop_rate
U,50-54,2048,7,pop_rate
