year,tavi_in_savr,tavi_in_tavi,total
2022,16.99,2.4945054945054945,19.48450549450549
2023,20.22,3.4329896907216493,23.652989690721647
2024,24.94,5.05,29.990000000000002
2025,28.03,7.0606060606060606,35.09060606060606
2026,35.87,8.76,44.629999999999995
2027,42.27,11.76,54.03
2028,47.09,14.96,62.050000000000004
2029,52.04,16.51,68.55
2030,58.22,19.35,77.57
2031,60.77,22.72,83.49000000000001
2032,62.04,25.33,87.37
2033,63.25,28.41,91.66
2034,66.79,31.04,97.83000000000001
2035,65.01,33.06,98.07000000000001
2036,65.0,34.9,99.9
2037,63.769999999999996,37.54,101.31
2038,63.730000000000004,38.07,101.80000000000001
2039,63.03,40.05,103.08
2040,63.510000000000005,42.39,105.9
2041,62.03,45.63,107.66
2042,63.18000000000001,45.16,108.34
2043,64.23,49.65,113.88
2044,66.62,50.46,117.08000000000001
2045,69.0,53.29,122.28999999999999
2046,68.89,55.97,124.86
2047,71.37,57.22,128.59
2048,73.15,61.44,134.59
2049,75.36,60.87,136.23
2050,76.82,64.09,140.91
