year,tavi_in_savr,tavi_in_tavi,total
2022,464.85,141.9,606.75
2023,489.76,180.03,669.79
2024,538.01,249.43,787.44
2025,556.26,321.16,877.4200000000001
2026,580.18,416.47,996.65
2027,597.64,511.4,1109.04
2028,603.44,612.92,1216.3600000000001
2029,594.73,712.98,1307.71
2030,581.12,811.93,1393.05
2031,547.76,920.7,1468.46
2032,511.85,1009.66,1521.51
2033,480.26,1104.55,1584.81
2034,452.6,1178.65,1631.25
2035,430.74,1254.03,1684.77
2036,410.63,1324.11,1734.7399999999998
2037,399.63,1393.39,1793.02
2038,395.29,1471.91,1867.2
2039,399.04,1542.25,1941.29
2040,394.2,1613.11,2007.31
