year,count
2020,190
2021,193
2022,197
2023,201
2024,205
2025,210
2026,214
2027,220
2028,226
2029,232
2030,237
2031,242
2032,247
2033,252
2034,256
2035,261
2036,265
2037,269
2038,273
2039,276
2040,278
2041,280
2042,281
2043,281
2044,281
2045,281
2046,280
2047,279
2048,278
2049,278
2050,278
