year,sex,age_band,population
2025,Women,70-74,400000
2025,Women,75-79,400000
2025,Women,80-84,279000
2025,Women,≥85,178000
2026,Men,0-4,862000
2026,Men,10-14,846000
2026,Men,15-19,830000
2026,Men,20-24,869000
2026,Men,25-29,968000
2026,Men,30-34,1009000
2026,Men,35-39,957000
2026,Men,40-44,889000
2026,Men,45-49,801000
2026,Men,5-9,876000
2026,Men,50-54,956000
2026,Men,55-59,1046000
2026,Men,60-64,798000
2026,Men,65-69,633000
2026,Men,70-74,358000
2026,Men,75-79,266000
2026,Men,80-84,158000
2026,Men,≥85,71000
2026,Women,0-4,815000
2026,Women,10-14,804000
2026,Women,15-19,791000
2026,Women,20-24,833000
2026,Women,25-29,932000
2026,Women,30-34,976000
2026,Women,35-39,933000
2026,Women,40-44,872000
2026,Women,45-49,793000
2026,Women,5-9,830000
2026,Women,50-54,962000
2026,Women,55-59,1075000
2026,Women,60-64,846000
2026,Women,65-69,704000
2026,Women,70-74,427000
2026,Women,75-79,380000
2026,Women,80-84,280000
2026,Women,≥85,185000
2027,Men,0-4,851000
2027,Men,10-14,853000
2027,Men,15-19,827000
2027,Men,20-24,850000
2027,Men,25-29,950000
2027,Men,30-34,1005000
2027,Men,35-39,971000
2027,Men,40-44,900000
2027,Men,45-49,814000
2027,Men,5-9,877000
2027,Men,50-54,890000
2027,Men,55-59,1055000
2027,Men,60-64,849000
2027,Men,65-69,642000
2027,Men,70-74,409000
2027,Men,75-79,246000
2027,Men,80-84,163000
2027,Men,≥85,77000
2027,Women,0-4,804000
2027,Women,10-14,810000
2027,Women,15-19,788000
2027,Women,20-24,814000
2027,Women,25-29,914000
2027,Women,30-34,972000
2027,Women,35-39,945000
2027,Women,40-44,882000
2027,Women,45-49,805000
2027,Women,5-9,830000
2027,Women,50-54,895000
2027,Women,55-59,1083000
2027,Women,60-64,898000
2027,Women,65-69,712000
2027,Women,70-74,484000
2027,Women,75-79,346000
2027,Women,80-84,281000
2027,Women,≥85,193000
2028,Men,0-4,838000
2028,Men,10-14,860000
2028,Men,15-19,826000
2028,Men,20-24,835000
2028,Men,25-29,931000
2028,Men,30-34,999000
2028,Men,35-39,983000
2028,Men,40-44,910000
2028,Men,45-49,830000
2028,Men,5-9,875000
2028,Men,50-54,834000
2028,Men,55-59,1045000
2028,Men,60-64,895000
2028,Men,65-69,647000
2028,Men,70-74,465000
2028,Men,75-79,237000
2028,Men,80-84,167000
2028,Men,≥85,81000
2028,Women,0-4,792000
2028,Women,10-14,816000
2028,Women,15-19,786000
2028,Women,20-24,799000
2028,Women,25-29,895000
2028,Women,30-34,965000
2028,Women,35-39,957000
2028,Women,40-44,892000
2028,Women,45-49,820000
2028,Women,5-9,828000
2028,Women,50-54,837000
2028,Women,55-59,1071000
2028,Women,60-64,944000
2028,Women,65-69,716000
2028,Women,70-74,548000
2028,Women,75-79,326000
2028,Women,80-84,281000
2028,Women,≥85,198000
2029,Men,0-4,823000
2029,Men,10-14,866000
2029,Men,15-19,827000
2029,Men,20-24,825000
2029,Men,25-29,908000
2029,Men,30-34,990000
2029,Men,35-39,993000
2029,Men,40-44,920000
2029,Men,45-49,846000
2029,Men,5-9,871000
2029,Men,50-54,802000
2029,Men,55-59,1015000
2029,Men,60-64,931000
2029,Men,65-69,665000
2029,Men,70-74,502000
2029,Men,75-79,241000
2029,Men,80-84,168000
2029,Men,≥85,85000
2029,Women,0-4,777000
2029,Women,10-14,821000
2029,Women,15-19,787000
2029,Women,20-24,789000
2029,Women,25-29,873000
2029,Women,30-34,956000
2029,Women,35-39,966000
2029,Women,40-44,902000
2029,Women,45-49,836000
2029,Women,5-9,825000
2029,Women,50-54,803000
2029,Women,55-59,1038000
2029,Women,60-64,980000
2029,Women,65-69,734000
2029,Women,70-74,591000
2029,Women,75-79,323000
2029,Women,80-84,279000
2029,Women,≥85,204000
2030,Men,0-4,806000
2030,Men,10-14,870000
2030,Men,15-19,833000
2030,Men,20-24,819000
2030,Men,25-29,883000
2030,Men,30-34,978000
2030,Men,35-39,999000
2030,Men,40-44,932000
2030,Men,45-49,862000
2030,Men,5-9,866000
2030,Men,50-54,783000
2030,Men,55-59,972000
2030,Men,60-64,965000
2030,Men,65-69,692000
2030,Men,70-74,524000
2030,Men,75-79,253000
2030,Men,80-84,171000
2030,Men,≥85,90000
2030,Women,0-4,761000
2030,Women,10-14,825000
2030,Women,15-19,793000
2030,Women,20-24,782000
2030,Women,25-29,848000
2030,Women,30-34,944000
2030,Women,35-39,971000
2030,Women,40-44,913000
2030,Women,45-49,851000
2030,Women,5-9,819000
2030,Women,50-54,784000
2030,Women,55-59,993000
2030,Women,60-64,1013000
2030,Women,65-69,761000
2030,Women,70-74,615000
2030,Women,75-79,330000
2030,Women,80-84,278000
2030,Women,≥85,207000
2031,Men,0-4,789000
2031,Men,10-14,873000
2031,Men,15-19,841000
2031,Men,20-24,815000
2031,Men,25-29,859000
2031,Men,30-34,962000
2031,Men,35-39,1000000
2031,Men,40-44,945000
2031,Men,45-49,875000
2031,Men,5-9,858000
2031,Men,50-54,781000
2031,Men,55-59,920000
2031,Men,60-64,989000
2031,Men,65-69,726000
2031,Men,70-74,541000
2031,Men,75-79,275000
2031,Men,80-84,166000
2031,Men,≥85,94000
2031,Women,0-4,745000
2031,Women,10-14,828000
2031,Women,15-19,800000
2031,Women,20-24,779000
2031,Women,25-29,825000
2031,Women,30-34,928000
2031,Women,35-39,971000
2031,Women,40-44,925000
2031,Women,45-49,863000
2031,Women,5-9,811000
2031,Women,50-54,780000
2031,Women,55-59,939000
2031,Women,60-64,1036000
2031,Women,65-69,797000
2031,Women,70-74,634000
2031,Women,75-79,355000
2031,Women,80-84,265000
2031,Women,≥85,211000
2032,Men,0-4,772000
2032,Men,10-14,874000
2032,Men,15-19,848000
2032,Men,20-24,812000
2032,Men,25-29,840000
2032,Men,30-34,944000
2032,Men,35-39,997000
2032,Men,40-44,959000
2032,Men,45-49,885000
2032,Men,5-9,847000
2032,Men,50-54,793000
2032,Men,55-59,857000
2032,Men,60-64,998000
2032,Men,65-69,773000
2032,Men,70-74,549000
2032,Men,75-79,314000
2032,Men,80-84,153000
2032,Men,≥85,98000
2032,Women,0-4,729000
2032,Women,10-14,828000
2032,Women,15-19,806000
2032,Women,20-24,776000
2032,Women,25-29,806000
2032,Women,30-34,911000
2032,Women,35-39,967000
2032,Women,40-44,938000
2032,Women,45-49,872000
2032,Women,5-9,800000
2032,Women,50-54,792000
2032,Women,55-59,874000
2032,Women,60-64,1044000
2032,Women,65-69,846000
2032,Women,70-74,643000
2032,Women,75-79,403000
2032,Women,80-84,241000
2032,Women,≥85,214000
2033,Men,0-4,755000
2033,Men,10-14,872000
2033,Men,15-19,855000
2033,Men,20-24,811000
2033,Men,25-29,826000
2033,Men,30-34,924000
2033,Men,35-39,990000
2033,Men,40-44,971000
2033,Men,45-49,895000
2033,Men,5-9,834000
2033,Men,50-54,809000
2033,Men,55-59,803000
2033,Men,60-64,989000
2033,Men,65-69,816000
2033,Men,70-74,554000
2033,Men,75-79,358000
2033,Men,80-84,148000
2033,Men,≥85,101000
2033,Women,0-4,713000
2033,Women,10-14,826000
2033,Women,15-19,812000
2033,Women,20-24,774000
2033,Women,25-29,792000
2033,Women,30-34,892000
2033,Women,35-39,960000
2033,Women,40-44,950000
2033,Women,45-49,882000
2033,Women,5-9,788000
2033,Women,50-54,807000
2033,Women,55-59,817000
2033,Women,60-64,1033000
2033,Women,65-69,890000
2033,Women,70-74,647000
2033,Women,75-79,456000
2033,Women,80-84,227000
2033,Women,≥85,217000
2034,Men,0-4,738000
2034,Men,10-14,869000
2034,Men,15-19,860000
2034,Men,20-24,813000
2034,Men,25-29,815000
2034,Men,30-34,903000
2034,Men,35-39,982000
2034,Men,40-44,981000
2034,Men,45-49,905000
2034,Men,5-9,819000
2034,Men,50-54,825000
2034,Men,55-59,772000
2034,Men,60-64,960000
2034,Men,65-69,850000
2034,Men,70-74,571000
2034,Men,75-79,387000
2034,Men,80-84,152000
2034,Men,≥85,103000
2034,Women,0-4,697000
2034,Women,10-14,822000
2034,Women,15-19,817000
2034,Women,20-24,775000
2034,Women,25-29,781000
2034,Women,30-34,870000
2034,Women,35-39,952000
2034,Women,40-44,959000
2034,Women,45-49,892000
2034,Women,5-9,774000
2034,Women,50-54,823000
2034,Women,55-59,785000
2034,Women,60-64,1002000
2034,Women,65-69,924000
2034,Women,70-74,664000
2034,Women,75-79,492000
2034,Women,80-84,227000
2034,Women,≥85,218000
2035,Men,0-4,724000
2035,Men,10-14,863000
2035,Men,15-19,865000
2035,Men,20-24,819000
2035,Men,25-29,809000
2035,Men,30-34,878000
2035,Men,35-39,969000
2035,Men,40-44,987000
2035,Men,45-49,917000
2035,Men,5-9,803000
2035,Men,50-54,841000
2035,Men,55-59,755000
2035,Men,60-64,920000
2035,Men,65-69,881000
2035,Men,70-74,595000
2035,Men,75-79,404000
2035,Men,80-84,162000
2035,Men,≥85,106000
2035,Women,0-4,683000
2035,Women,10-14,817000
2035,Women,15-19,821000
2035,Women,20-24,781000
2035,Women,25-29,775000
2035,Women,30-34,845000
2035,Women,35-39,939000
2035,Women,40-44,964000
2035,Women,45-49,903000
2035,Women,5-9,758000
2035,Women,50-54,837000
2035,Women,55-59,766000
2035,Women,60-64,959000
2035,Women,65-69,956000
2035,Women,70-74,690000
2035,Women,75-79,513000
2035,Women,80-84,236000
2035,Women,≥85,219000
2036,Men,0-4,710000
2036,Men,10-14,855000
2036,Men,15-19,868000
2036,Men,20-24,826000
2036,Men,25-29,806000
2036,Men,30-34,854000
2036,Men,35-39,954000
2036,Men,40-44,988000
2036,Men,45-49,930000
2036,Men,5-9,785000
2036,Men,50-54,853000
2036,Men,55-59,753000
2036,Men,60-64,871000
2036,Men,65-69,903000
2036,Men,70-74,625000
2036,Men,75-79,417000
2036,Men,80-84,178000
2036,Men,≥85,105000
2036,Women,0-4,671000
2036,Women,10-14,808000
2036,Women,15-19,823000
2036,Women,20-24,787000
2036,Women,25-29,771000
2036,Women,30-34,822000
2036,Women,35-39,924000
2036,Women,40-44,964000
2036,Women,45-49,916000
2036,Women,5-9,742000
2036,Women,50-54,850000
2036,Women,55-59,763000
2036,Women,60-64,907000
2036,Women,65-69,979000
2036,Women,70-74,723000
2036,Women,75-79,529000
2036,Women,80-84,255000
2036,Women,≥85,213000
2037,Men,0-4,698000
2037,Men,10-14,844000
2037,Men,15-19,869000
2037,Men,20-24,834000
2037,Men,25-29,803000
2037,Men,30-34,835000
2037,Men,35-39,936000
2037,Men,40-44,985000
2037,Men,45-49,944000
2037,Men,5-9,768000
2037,Men,50-54,863000
2037,Men,55-59,765000
2037,Men,60-64,812000
2037,Men,65-69,912000
2037,Men,70-74,667000
2037,Men,75-79,423000
2037,Men,80-84,203000
2037,Men,≥85,100000
2037,Women,0-4,660000
2037,Women,10-14,798000
2037,Women,15-19,824000
2037,Women,20-24,794000
2037,Women,25-29,768000
2037,Women,30-34,803000
