year,tavi_in_savr,tavi_in_tavi,total
2022,274.78,8.48,283.26
2023,302.1,14.65,316.75
2024,335.84,23.38,359.21999999999997
2025,359.79,35.43,395.22
2026,388.93,53.69,442.62
2027,413.55,73.29,486.84000000000003
2028,443.22,98.94,542.1600000000001
2029,469.21,122.53,591.74
2030,498.51,151.49,650.0
2031,526.05,182.88,708.93
2032,561.68,212.63,774.31
2033,583.92,248.6,832.52
2034,614.8,285.43,900.23
2035,645.96,322.94,968.9000000000001
2036,664.57,340.12,1004.69
2037,676.66,356.62,1033.28
2038,681.37,372.49,1053.8600000000001
2039,691.22,380.84,1072.06
2040,698.08,392.0,1090.08
2041,704.82,408.48,1113.3000000000002
2042,714.32,422.96,1137.28
2043,712.01,431.86,1143.87
2044,713.4,453.25,1166.65
2045,714.19,465.28,1179.47
2046,715.82,481.11,1196.93
2047,717.14,495.83,1212.97
2048,717.25,521.86,1239.1100000000001
2049,723.34,539.31,1262.65
2050,723.51,560.17,1283.6799999999998
