year,tis_before,redo_target,tis_after
2025,358,0,358
2026,382,0,382
2027,396,0,396
2028,428,0,428
2029,442,0,442
2030,475,0,475
2031,494,0,494
2032,513,0,513
2033,534,0,534
2034,562,0,562
2035,568,0,568
