procedure,year,sex,age_band,count,population,risk
savr,2024,Men,40-44,29,2057000,1.4098201263976665e-05
savr,2024,Men,45-49,35,1964000,1.7820773930753565e-05
savr,2024,Men,50-54,81,2236000,3.622540250447227e-05
savr,2024,Men,55-59,137,2104000,6.511406844106464e-05
savr,2024,Men,60-64,206,2084000,9.884836852207294e-05
savr,2024,Men,65-69,259,1691000,0.00015316380839739798
savr,2024,Men,70-74,226,1087000,0.0002079116835326587
savr,2024,Men,75-79,181,763000,0.00023722149410222804
savr,2024,Men,>=80,59,824000,7.160194174757281e-05
tavi,2024,Men,50-54,1,2236000,4.4722719141323793e-07
tavi,2024,Men,60-64,6,2084000,2.8790786948176584e-06
tavi,2024,Men,65-69,8,1691000,4.7309284447072735e-06
tavi,2024,Men,70-74,48,1087000,4.415823367065317e-05
tavi,2024,Men,75-79,125,763000,0.000163826998689384
tavi,2024,Men,>=80,576,824000,0.0006990291262135922
redo_savr,2024,Women,20-24,2,1355000,1.4760147601476015e-06
redo_savr,2024,Women,30-34,7,1671000,4.189108318372232e-06
redo_savr,2024,Women,35-39,1,1570000,6.369426751592356e-07
redo_savr,2024,Women,40-44,1,1944000,5.1440329218107e-07
redo_savr,2024,Women,45-49,3,1894000,1.583949313621964e-06
redo_savr,2024,Women,50-54,7,2188000,3.19926873857404e-06
redo_savr,2024,Women,55-59,8,2112000,3.787878787878788e-06
redo_savr,2024,Women,60-64,17,2128000,7.988721804511278e-06
redo_savr,2024,Women,65-69,18,1803000,9.983361064891846e-06
redo_savr,2024,Women,70-74,13,1234000,1.053484602917342e-05
redo_savr,2024,Women,75-79,14,947000,1.4783526927138331e-05
redo_savr,2024,Women,>=80,5,1619000,3.0883261272390362e-06
savr,2024,Women,10-14,1,1113000,8.984725965858041e-07
savr,2024,Women,15-19,1,1115000,8.968609865470852e-07
savr,2024,Women,20-24,2,1355000,1.4760147601476015e-06
savr,2024,Women,25-29,3,1664000,1.8028846153846153e-06
savr,2024,Women,30-34,5,1671000,2.992220227408737e-06
savr,2024,Women,35-39,5,1570000,3.1847133757961785e-06
savr,2024,Women,40-44,7,1944000,3.6008230452674896e-06
savr,2024,Women,45-49,19,1894000,1.0031678986272439e-05
savr,2024,Women,5-9,1,924000,1.0822510822510822e-06
savr,2024,Women,50-54,42,2188000,1.919561243144424e-05
savr,2024,Women,55-59,57,2112000,2.6988636363636363e-05
savr,2024,Women,60-64,120,2128000,5.639097744360902e-05
savr,2024,Women,65-69,185,1803000,0.00010260676650027731
savr,2024,Women,70-74,190,1234000,0.00015397082658022692
savr,2024,Women,75-79,171,947000,0.0001805702217529039
savr,2024,Women,>=80,76,1619000,4.694255713403335e-05
tavi,2024,Women,50-54,1,2188000,4.570383912248629e-07
tavi,2024,Women,55-59,2,2112000,9.46969696969697e-07
tavi,2024,Women,60-64,4,2128000,1.8796992481203007e-06
tavi,2024,Women,65-69,7,1803000,3.882418191902385e-06
tavi,2024,Women,70-74,39,1234000,3.160453808752026e-05
tavi,2024,Women,75-79,142,947000,0.00014994720168954594
tavi,2024,Women,>=80,903,1619000,0.00055775169857937
