year,tavi_in_savr,tavi_in_tavi,total
2022,463.46666666666664,85.1,548.5666666666666
2023,490.7,104.4,595.1
2024,544.3333333333334,132.23333333333332,676.5666666666667
2025,558.1666666666666,165.73333333333332,723.9
2026,590.4333333333333,210.8,801.2333333333333
2027,616.0333333333333,252.26666666666668,868.3
2028,643.2333333333333,301.1666666666667,944.4000000000001
2029,664.2333333333333,345.46666666666664,1009.7
2030,693.8333333333334,371.8,1065.6333333333334
2031,712.2,411.03333333333336,1123.2333333333333
2032,740.5666666666667,439.3,1179.8666666666668
2033,763.3,478.4,1241.6999999999998
2034,794.6,517.2333333333333,1311.8333333333335
2035,813.0333333333333,542.5666666666667,1355.6
2036,837.1333333333333,566.8333333333334,1403.9666666666667
2037,849.3666666666667,602.1666666666666,1451.5333333333333
2038,855.9333333333333,619.6333333333333,1475.5666666666666
2039,865.5,637.2333333333333,1502.7333333333333
2040,884.5666666666667,660.2666666666667,1544.8333333333335
2041,895.9333333333333,679.2666666666667,1575.1999999999998
2042,888.1,705.5666666666667,1593.6666666666667
2043,899.5,725.4,1624.9
2044,905.5,759.1333333333333,1664.6333333333332
2045,901.0666666666667,781.3333333333334,1682.4
2046,898.9,808.1333333333333,1707.0333333333333
2047,901.3,845.5333333333333,1746.8333333333333
2048,901.6666666666666,872.9333333333333,1774.6
2049,913.0,909.5333333333333,1822.5333333333333
2050,908.1333333333333,933.1333333333333,1841.2666666666667
