year,age,population
2025,36,102200
2025,37,102200
2025,38,102200
2025,39,102200
2025,40,87600
2025,41,87600
2025,42,87600
2025,43,87600
2025,44,87600
2025,45,77200
2025,46,77200
2025,47,77200
2025,48,77200
2025,49,77200
2025,50,72400
2025,51,72400
2025,52,72400
2025,53,72400
2025,54,72400
2025,55,65200
2025,56,65200
2025,57,65200
2025,58,65200
2025,59,65200
2025,60,64000
2025,61,64000
2025,62,64000
2025,63,64000
2025,64,64000
2025,65,57200
2025,66,57200
2025,67,57200
2025,68,57200
2025,69,57200
2025,70,45000
2025,71,45000
2025,72,45000
2025,73,45000
2025,74,45000
2025,75,31600
2025,76,31600
2025,77,31600
2025,78,31600
2025,79,31600
2025,80,16200
2025,81,16200
2025,82,16200
2025,83,16200
2025,84,16200
2025,85,10400
2025,86,10400
2025,87,10400
2025,88,10400
2025,89,10400
2025,90,4600
2025,91,4600
2025,92,4600
2025,93,4600
2025,94,4600
2025,95,1400
2025,96,1400
2025,97,1400
2025,98,1400
2025,99,1400
2025,100,200
2025,101,200
2025,102,200
2025,103,200
2025,104,200
2026,0,48200
2026,1,48200
2026,2,48200
2026,3,48200
2026,4,48200
2026,5,45600
2026,6,45600
2026,7,45600
2026,8,45600
2026,9,45600
2026,10,44800
2026,11,44800
2026,12,44800
2026,13,44800
2026,14,44800
2026,15,55000
2026,16,55000
2026,17,55000
2026,18,55000
2026,19,55000
2026,20,96600
2026,21,96600
2026,22,96600
2026,23,96600
2026,24,96600
2026,25,119200
2026,26,119200
2026,27,119200
2026,28,119200
2026,29,119200
2026,30,119200
2026,31,119200
2026,32,119200
2026,33,119200
2026,34,119200
2026,35,106400
2026,36,106400
2026,37,106400
2026,38,106400
2026,39,106400
2026,40,89200
2026,41,89200
2026,42,89200
2026,43,89200
2026,44,89200
2026,45,79200
2026,46,79200
2026,47,79200
2026,48,79200
2026,49,79200
2026,50,73400
2026,51,73400
2026,52,73400
2026,53,73400
2026,54,73400
2026,55,65800
2026,56,65800
2026,57,65800
2026,58,65800
2026,59,65800
2026,60,64400
2026,61,64400
2026,62,64400
2026,63,64400
2026,64,64400
2026,65,58600
2026,66,58600
2026,67,58600
2026,68,58600
2026,69,58600
2026,70,47200
2026,71,47200
2026,72,47200
2026,73,47200
2026,74,47200
2026,75,34200
2026,76,34200
2026,77,34200
2026,78,34200
2026,79,34200
2026,80,16800
2026,81,16800
2026,82,16800
2026,83,16800
2026,84,16800
2026,85,11000
2026,86,11000
2026,87,11000
2026,88,11000
2026,89,11000
2026,90,4800
2026,91,4800
2026,92,4800
2026,93,4800
2026,94,4800
2026,95,1400
2026,96,1400
2026,97,1400
2026,98,1400
2026,99,1400
2026,100,200
2026,101,200
2026,102,200
2026,103,200
2026,104,200
2027,0,49400
2027,1,49400
2027,2,49400
2027,3,49400
2027,4,49400
2027,5,46000
2027,6,46000
2027,7,46000
2027,8,46000
2027,9,46000
2027,10,45200
2027,11,45200
2027,12,45200
2027,13,45200
2027,14,45200
2027,15,50400
2027,16,50400
2027,17,50400
2027,18,50400
2027,19,50400
2027,20,90000
2027,21,90000
2027,22,90000
2027,23,90000
2027,24,90000
2027,25,117600
2027,26,117600
2027,27,117600
2027,28,117600
2027,29,117600
2027,30,120200
2027,31,120200
2027,32,120200
2027,33,120200
2027,34,120200
2027,35,110400
2027,36,110400
2027,37,110400
2027,38,110400
2027,39,110400
2027,40,90800
2027,41,90800
2027,42,90800
2027,43,90800
2027,44,90800
2027,45,81000
2027,46,81000
2027,47,81000
2027,48,81000
2027,49,81000
2027,50,74000
2027,51,74000
2027,52,74000
2027,53,74000
2027,54,74000
2027,55,67000
2027,56,67000
2027,57,67000
2027,58,67000
2027,59,67000
2027,60,64600
2027,61,64600
2027,62,64600
2027,63,64600
2027,64,64600
2027,65,59400
2027,66,59400
2027,67,59400
2027,68,59400
2027,69,59400
2027,70,49400
2027,71,49400
2027,72,49400
2027,73,49400
2027,74,49400
2027,75,35800
2027,76,35800
2027,77,35800
2027,78,35800
2027,79,35800
2027,80,19000
2027,81,19000
2027,82,19000
2027,83,19000
2027,84,19000
2027,85,11600
2027,86,11600
2027,87,11600
2027,88,11600
2027,89,11600
2027,90,4800
2027,91,4800
2027,92,4800
2027,93,4800
2027,94,4800
2027,95,1600
2027,96,1600
2027,97,1600
2027,98,1600
2027,99,1600
2027,100,200
2027,101,200
2027,102,200
2027,103,200
2027,104,200
2028,0,50200
2028,1,50200
2028,2,50200
2028,3,50200
2028,4,50200
2028,5,46400
2028,6,46400
2028,7,46400
2028,8,46400
2028,9,46400
2028,10,45400
2028,11,45400
2028,12,45400
