year,tavi_in_savr,tavi_in_tavi,total
2022,29.98,22.35,52.33
2023,35.45,25.5,60.95
2024,40.77,27.48,68.25
2025,44.06,30.81,74.87
2026,58.47,35.43,93.9
2027,66.72,39.82,106.53999999999999
2028,74.53,43.93,118.46000000000001
2029,81.81,45.55,127.36
2030,87.73,47.84,135.57
2031,92.58,51.26,143.84
2032,96.8,53.23,150.03
2033,97.82,56.7,154.51999999999998
2034,99.97,58.29,158.26
2035,99.06,61.63,160.69
2036,101.54,63.63,165.17000000000002
2037,100.06,66.58,166.64
2038,103.62,71.85,175.47
2039,104.37,75.62,179.99
2040,103.84,80.52,184.36
2041,106.69,85.56,192.25
2042,108.02,92.34,200.36
2043,112.8,96.25,209.05
2044,115.06,103.15,218.21
2045,119.54,109.09,228.63
2046,122.06,114.84,236.9
2047,129.83,122.03,251.86
2048,131.64,127.73,259.37
2049,136.37,133.91,270.28
2050,141.09,139.02,280.11
