year,tavi_in_savr,tavi_in_tavi,total
2022,17.99,2.4945054945054945,20.48450549450549
2023,21.22,3.4329896907216493,24.652989690721647
2024,25.94,5.05,30.990000000000002
2025,29.03,7.0606060606060606,36.09060606060606
2026,36.87,8.76,45.629999999999995
2027,43.27,11.76,55.03
2028,48.09,14.96,63.050000000000004
2029,53.04,16.51,69.55
2030,59.22,19.35,78.57
2031,61.77,22.72,84.49000000000001
2032,63.04,25.33,88.37
2033,65.25,28.41,93.66
2034,68.79,31.04,99.83000000000001
2035,67.01,33.06,100.07000000000001
2036,67.0,34.9,101.9
2037,65.77,37.54,103.31
2038,65.73,38.07,103.80000000000001
2039,65.03,40.05,105.08
2040,65.51,42.39,107.9
2041,64.03,45.63,109.66
2042,65.18,45.16,110.34
2043,66.23,49.65,115.88
2044,68.62,50.46,119.08000000000001
2045,71.0,53.29,124.28999999999999
2046,70.89,55.97,126.86
2047,73.37,57.22,130.59
2048,75.15,61.44,136.59
2049,77.36,60.87,138.23
2050,78.82,64.09,142.91
