year,proc,index_cnt,deaths,failures,viable,run
2012,savr,1531.0,2.93,0.0,0.0,49.5
2012,tavi,56.0,0.19,0.0,0.0,49.5
2013,savr,1541.0,15.32,53.9,0.0,49.5
2013,tavi,60.0,1.29,1.1,0.0,49.5
2014,savr,1690.0,56.93,80.8,0.0,49.5
2014,tavi,46.0,4.86,3.21,0.0,49.5
2015,savr,1840.0,143.33,120.26,0.0,49.5
2015,tavi,93.0,11.37,6.31,0.0,49.5
2016,savr,2179.0,277.47,171.31,0.0,49.5
2016,tavi,197.0,22.46,10.21,0.0,49.5
2017,savr,1949.0,444.13,242.14,0.0,49.5
2017,tavi,248.0,35.81,17.32,0.0,49.5
2018,savr,2169.0,644.35,315.73,0.0,49.5
2018,tavi,345.0,55.72,26.38,0.0,49.5
2019,savr,2118.0,848.29,409.11,0.0,49.5
2019,tavi,436.0,83.6,41.41,0.0,49.5
2020,savr,2195.0,1051.8,517.47,0.0,49.5
2020,tavi,459.0,112.96,62.1,0.0,49.5
2021,savr,2321.0,1257.01,631.58,0.0,49.5
2021,tavi,563.0,153.54,86.81,0.0,49.5
2022,savr,2023.0,1438.65,752.1,461.04,49.5
2022,tavi,551.0,195.91,113.88,85.42,49.5
2023,savr,2620.0,1586.99,881.59,494.35,49.5
2023,tavi,1083.0,240.52,145.15,104.42,49.5
2024,savr,2452.0,1711.73,1027.32,537.9,49.5
2024,tavi,1098.0,280.27,190.32,132.42,49.5
2025,savr,2513.0,1800.82,1152.84,558.22,49.5
2025,tavi,1126.0,325.42,245.89,168.27,49.5
2026,savr,2576.0,1883.0,1292.22,588.28,49.5
2026,tavi,1146.0,375.1,314.51,210.26,49.5
2027,savr,2658.0,1945.93,1424.0,616.01,49.5
2027,tavi,1168.0,442.14,384.78,254.24,49.5
2028,savr,2750.0,1994.55,1552.01,644.92,49.5
2028,tavi,1188.0,511.81,461.96,299.75,49.5
2029,savr,2833.0,2051.48,1677.87,664.99,49.5
2029,tavi,1208.0,582.82,533.36,338.72,49.5
2030,savr,2907.0,2126.02,1783.29,693.57,49.5
2030,tavi,1232.0,650.21,602.8,373.88,49.5
2031,savr,2986.0,2214.64,1891.53,717.93,49.5
2031,tavi,1239.0,699.98,679.69,410.47,49.5
2032,savr,3069.0,2311.6,1988.28,750.12,49.5
2032,tavi,1233.0,748.96,752.49,441.08,49.5
2033,savr,3145.0,2400.34,2077.47,765.27,49.5
2033,tavi,1248.0,795.54,836.69,479.99,49.5
2034,savr,3213.0,2492.28,2174.39,788.16,49.5
2034,tavi,1278.0,843.45,912.1,514.45,49.5
2035,savr,3277.0,2588.61,2253.39,811.79,49.5
2035,tavi,1321.0,896.3,976.85,540.05,49.5
2036,savr,3337.0,2657.17,2340.86,834.89,49.5
2036,tavi,1368.0,938.37,1045.3,570.88,49.5
2037,savr,3394.0,2746.05,2399.12,851.25,49.5
2037,tavi,1430.0,995.69,1097.8,596.95,49.5
2038,savr,3442.0,2824.61,2457.96,857.57,49.5
2038,tavi,1512.0,1042.54,1151.39,621.22,49.5
2039,savr,3480.0,2881.49,2516.3,870.56,49.5
2039,tavi,1584.0,1095.35,1181.87,637.89,49.5
2040,savr,3517.0,2956.89,2579.72,879.05,49.5
2040,tavi,1645.0,1142.55,1223.18,660.0,49.5
2041,savr,3548.0,3022.69,2639.71,887.39,49.5
2041,tavi,1705.0,1194.28,1264.86,685.77,49.5
2042,savr,3573.0,3082.21,2697.06,895.99,49.5
2042,tavi,1769.0,1250.09,1305.67,709.9,49.5
2043,savr,3582.0,3140.5,2745.55,896.89,49.5
2043,tavi,1840.0,1303.69,1335.3,727.11,49.5
2044,savr,3578.0,3208.34,2789.85,896.42,49.5
2044,tavi,1910.0,1353.81,1379.46,756.64,49.5
2045,savr,3567.0,3251.3,2845.51,899.03,49.5
2045,tavi,1979.0,1405.26,1417.74,781.42,49.5
2046,savr,3549.0,3285.06,2900.07,898.85,49.5
2046,tavi,2049.0,1455.85,1462.45,807.44,49.5
2047,savr,3522.0,3335.22,2937.51,903.64,49.5
2047,tavi,2127.0,1511.39,1498.35,831.82,49.5
2048,savr,3496.0,3376.9,2979.24,900.05,49.5
2048,tavi,2210.0,1573.01,1571.18,873.81,49.5
2049,savr,3478.0,3405.29,3035.68,907.82,49.5
2049,tavi,2274.0,1624.32,1623.29,905.57,49.5
2050,savr,3464.0,3428.39,3079.86,910.2,49.5
2050,tavi,2334.0,1679.43,1682.38,937.78,49.5
