procedure,year,sex,age_band,count,population,risk
redo_savr,2024,Men,40-44,0,220000,0.0
redo_savr,2024,Men,45-49,0,193000,0.0
redo_savr,2024,Men,5-9,0,116000,0.0
redo_savr,2024,Men,50-54,0,181000,0.0
redo_savr,2024,Men,55-59,0,166000,0.0
redo_savr,2024,Men,60-64,0,160000,0.0
redo_savr,2024,Men,65-69,0,137000,0.0
redo_savr,2024,Men,70-74,0,103000,0.0
redo_savr,2024,Men,75-79,1,65000,1.5384615384615384e-05
redo_savr,2024,Men,<5yr,0,0,0.0
redo_savr,2024,Men,>=80,0,61000,0.0
savr,2024,Men,10-14,0,115000,0.0
savr,2024,Men,15-19,0,180000,0.0
savr,2024,Men,20-24,1,295000,3.3898305084745763e-06
savr,2024,Men,25-29,1,332000,3.012048192771084e-06
savr,2024,Men,30-34,4,312000,1.282051282051282e-05
savr,2024,Men,35-39,0,258000,0.0
savr,2024,Men,40-44,7,220000,3.181818181818182e-05
savr,2024,Men,45-49,4,193000,2.072538860103627e-05
savr,2024,Men,5-9,0,116000,0.0
savr,2024,Men,50-54,13,181000,7.18232044198895e-05
savr,2024,Men,55-59,14,166000,8.433734939759036e-05
savr,2024,Men,60-64,28,160000,0.000175
savr,2024,Men,65-69,28,137000,0.00020437956204379562
savr,2024,Men,70-74,18,103000,0.00017475728155339805
savr,2024,Men,75-79,12,65000,0.0001846153846153846
savr,2024,Men,<5yr,0,0,0.0
savr,2024,Men,>=80,118,61000,0.0019344262295081967
tavi,2024,Men,10-14,0,115000,0.0
tavi,2024,Men,15-19,0,180000,0.0
tavi,2024,Men,20-24,0,295000,0.0
tavi,2024,Men,25-29,0,332000,0.0
tavi,2024,Men,30-34,0,312000,0.0
tavi,2024,Men,35-39,0,258000,0.0
tavi,2024,Men,40-44,0,220000,0.0
tavi,2024,Men,45-49,0,193000,0.0
tavi,2024,Men,5-9,0,116000,0.0
tavi,2024,Men,50-54,0,181000,0.0
tavi,2024,Men,55-59,2,166000,1.2048192771084337e-05
tavi,2024,Men,60-64,3,160000,1.875e-05
tavi,2024,Men,65-69,11,137000,8.029197080291971e-05
tavi,2024,Men,70-74,10,103000,9.70873786407767e-05
tavi,2024,Men,75-79,26,65000,0.0004
tavi,2024,Men,<5yr,0,0,0.0
tavi,2024,Men,>=80,31,61000,0.0005081967213114754
redo_savr,2024,Women,10-14,0,108000,0.0
redo_savr,2024,Women,15-19,0,159000,0.0
redo_savr,2024,Women,20-24,0,241000,0.0
redo_savr,2024,Women,25-29,0,270000,0.0
redo_savr,2024,Women,30-34,0,268000,0.0
redo_savr,2024,Women,35-39,0,233000,0.0
redo_savr,2024,Women,40-44,0,208000,0.0
redo_savr,2024,Women,45-49,0,186000,0.0
redo_savr,2024,Women,5-9,0,111000,0.0
redo_savr,2024,Women,50-54,0,175000,0.0
redo_savr,2024,Women,55-59,0,161000,0.0
redo_savr,2024,Women,60-64,0,156000,0.0
redo_savr,2024,Women,65-69,0,142000,0.0
redo_savr,2024,Women,70-74,0,113000,0.0
redo_savr,2024,Women,75-79,0,78000,0.0
redo_savr,2024,Women,<5yr,0,0,0.0
redo_savr,2024,Women,>=80,0,98000,0.0
savr,2024,Women,10-14,0,108000,0.0
savr,2024,Women,15-19,0,159000,0.0
savr,2024,Women,20-24,1,241000,4.149377593360996e-06
savr,2024,Women,25-29,0,270000,0.0
savr,2024,Women,30-34,0,268000,0.0
savr,2024,Women,35-39,0,233000,0.0
savr,2024,Women,40-44,1,208000,4.807692307692308e-06
savr,2024,Women,45-49,1,186000,5.376344086021505e-06
savr,2024,Women,5-9,0,111000,0.0
savr,2024,Women,50-54,4,175000,2.2857142857142858e-05
savr,2024,Women,55-59,8,161000,4.968944099378882e-05
savr,2024,Women,60-64,8,156000,5.128205128205128e-05
savr,2024,Women,65-69,11,142000,7.746478873239437e-05
savr,2024,Women,70-74,19,113000,0.00016814159292035397
savr,2024,Women,75-79,11,78000,0.00014102564102564101
savr,2024,Women,<5yr,0,0,0.0
savr,2024,Women,>=80,14,98000,0.00014285714285714287
tavi,2024,Women,10-14,0,108000,0.0
tavi,2024,Women,15-19,0,159000,0.0
tavi,2024,Women,20-24,0,241000,0.0
