year,age,sex,population
2022,63,Men,141600
2022,64,Men,141600
2022,65,Men,95600
2022,66,Men,95600
2022,67,Men,95600
2022,68,Men,95600
2022,69,Men,95600
2022,70,Men,65400
2022,71,Men,65400
2022,72,Men,65400
2022,73,Men,65400
2022,74,Men,65400
2022,75,Men,52800
2022,76,Men,52800
2022,77,Men,52800
2022,78,Men,52800
2022,79,Men,52800
2022,80,Men,27600
2022,81,Men,27600
2022,82,Men,27600
2022,83,Men,27600
2022,84,Men,27600
2022,85,Men,8200
2022,86,Men,8200
2022,87,Men,8200
2022,88,Men,8200
2022,89,Men,8200
2022,90,Men,1200
2022,91,Men,1200
2022,92,Men,1200
2022,93,Men,1200
2022,94,Men,1200
2022,95,Men,200
2022,96,Men,200
2022,97,Men,200
2022,98,Men,200
2022,99,Men,200
2023,0,Men,175800
2023,1,Men,175800
2023,2,Men,175800
2023,3,Men,175800
2023,4,Men,175800
2023,5,Men,172600
2023,6,Men,172600
2023,7,Men,172600
2023,8,Men,172600
2023,9,Men,172600
2023,10,Men,166200
2023,11,Men,166200
2023,12,Men,166200
2023,13,Men,166200
2023,14,Men,166200
2023,15,Men,170000
2023,16,Men,170000
2023,17,Men,170000
2023,18,Men,170000
2023,19,Men,170000
2023,20,Men,188200
2023,21,Men,188200
2023,22,Men,188200
2023,23,Men,188200
2023,24,Men,188200
2023,25,Men,201200
2023,26,Men,201200
2023,27,Men,201200
2023,28,Men,201200
2023,29,Men,201200
2023,30,Men,198400
2023,31,Men,198400
2023,32,Men,198400
2023,33,Men,198400
2023,34,Men,198400
2023,35,Men,184400
2023,36,Men,184400
2023,37,Men,184400
2023,38,Men,184400
2023,39,Men,184400
2023,40,Men,169000
2023,41,Men,169000
2023,42,Men,169000
2023,43,Men,169000
2023,44,Men,169000
2023,45,Men,171400
2023,46,Men,171400
2023,47,Men,171400
2023,48,Men,171400
2023,49,Men,171400
2023,50,Men,217600
2023,51,Men,217600
2023,52,Men,217600
2023,53,Men,217600
2023,54,Men,217600
2023,55,Men,189400
2023,56,Men,189400
2023,57,Men,189400
2023,58,Men,189400
2023,59,Men,189400
2023,60,Men,142600
2023,61,Men,142600
2023,62,Men,142600
2023,63,Men,142600
2023,64,Men,142600
2023,65,Men,108800
2023,66,Men,108800
2023,67,Men,108800
2023,68,Men,108800
2023,69,Men,108800
2023,70,Men,62800
2023,71,Men,62800
2023,72,Men,62800
2023,73,Men,62800
2023,74,Men,62800
2023,75,Men,53800
2023,76,Men,53800
2023,77,Men,53800
2023,78,Men,53800
2023,79,Men,53800
2023,80,Men,28600
2023,81,Men,28600
2023,82,Men,28600
2023,83,Men,28600
2023,84,Men,28600
2023,85,Men,9200
2023,86,Men,9200
2023,87,Men,9200
2023,88,Men,9200
2023,89,Men,9200
2023,90,Men,1400
2023,91,Men,1400
2023,92,Men,1400
2023,93,Men,1400
