year,tis_before,redo_target,tis_after
2015,68,113,0
2016,102,151,0
2017,141,171,0
2018,184,190,0
2019,228,177,51
2020,278,197,81
2021,336,183,153
2022,395,172,223
2023,441,220,221
2024,519,220,299
2025,516,220,296
2026,546,220,326
2027,579,220,359
2028,593,220,373
2029,573,220,353
2030,549,220,329
2031,528,220,308
2032,502,220,282
2033,458,220,238
2034,424,220,204
2035,392,220,172
