year,tis_before,redo_target,tis_after
2015,68,113.0,0
2016,102,151.0,0
2017,141,171.0,0
2018,184,190.0,0
2019,228,177.0,51
2020,278,197.0,81
2021,336,183.0,153
2022,395,172.0,223
2023,441,220.0,221
2024,519,,519
2025,516,,516
2026,546,,546
2027,579,,579
2028,593,,593
2029,573,,573
2030,549,,549
2031,528,,528
2032,502,,502
2033,458,,458
2034,424,,424
2035,392,,392
