year,sex,age_band,population
2025,Men,50-54,2136665
2025,Women,50-54,2136665
2025,Men,55-59,2136665
2025,Women,55-59,2136665
2025,Men,60-64,2136671
2025,Women,60-64,2136671
2025,Men,65-69,1631002
2025,Women,65-69,2048998
2025,Men,70-74,1065032
2025,Women,70-74,1464968
2025,Men,75-79,620680
2025,Women,75-79,959320
2025,Men,80-84,620680
2025,Women,80-84,959320
2025,Men,≥85,340000
2025,Women,≥85,800000
2026,Men,50-54,2123331
2026,Women,50-54,2123331
2026,Men,55-59,2123331
2026,Women,55-59,2123331
2026,Men,60-64,2123338
2026,Women,60-64,2123338
2026,Men,65-69,1669407
2026,Women,65-69,2082593
2026,Men,70-74,1156694
2026,Women,70-74,1573306
2026,Men,75-79,654450
2026,Women,75-79,998550
2026,Men,80-84,654450
2026,Women,80-84,998550
2026,Men,≥85,368377
2026,Women,≥85,847623
2027,Men,50-54,2109998
2027,Women,50-54,2109998
2027,Men,55-59,2109998
2027,Women,55-59,2109998
2027,Men,60-64,2110004
2027,Women,60-64,2110004
2027,Men,65-69,1708019
2027,Women,65-69,2115981
2027,Men,70-74,1249376
2027,Women,70-74,1680624
2027,Men,75-79,688616
2027,Women,75-79,1037384
2027,Men,80-84,688616
2027,Women,80-84,1037384
2027,Men,≥85,397387
2027,Women,≥85,894613
2028,Men,50-54,2096665
2028,Women,50-54,2096665
2028,Men,55-59,2096665
2028,Women,55-59,2096665
2028,Men,60-64,2096671
2028,Women,60-64,2096671
2028,Men,65-69,1746838
2028,Women,65-69,2149162
2028,Men,70-74,1343062
2028,Women,70-74,1786938
2028,Men,75-79,723172
2028,Women,75-79,1075828
2028,Men,80-84,723172
2028,Women,80-84,1075828
2028,Men,≥85,427018
2028,Women,≥85,940982
2029,Men,50-54,2083331
2029,Women,50-54,2083331
2029,Men,55-59,2083331
2029,Women,55-59,2083331
2029,Men,60-64,2083338
2029,Women,60-64,2083338
2029,Men,65-69,1785862
2029,Women,65-69,2182138
2029,Men,70-74,1437740
2029,Women,70-74,1892260
2029,Men,75-79,758112
2029,Women,75-79,1113888
2029,Men,80-84,758112
2029,Women,80-84,1113888
2029,Men,≥85,457257
2029,Women,≥85,986743
2030,Men,50-54,2069998
2030,Women,50-54,2069998
2030,Men,55-59,2069998
2030,Women,55-59,2069998
2030,Men,60-64,2070004
2030,Women,60-64,2070004
2030,Men,65-69,1825088
2030,Women,65-69,2214912
2030,Men,70-74,1533394
2030,Women,70-74,1996606
2030,Men,75-79,793431
2030,Women,75-79,1151569
2030,Men,80-84,793431
2030,Women,80-84,1151569
2030,Men,≥85,488092
2030,Women,≥85,1031908
2031,Men,50-54,2045331
2031,Women,50-54,2045331
2031,Men,55-59,2045331
2031,Women,55-59,2045331
2031,Men,60-64,2045337
2031,Women,60-64,2045337
2031,Men,65-69,1834454
2031,Women,65-69,2219546
2031,Men,70-74,1557941
2031,Women,70-74,2018059
2031,Men,75-79,852209
2031,Women,75-79,1224791
2031,Men,80-84,852209
2031,Women,80-84,1224791
2031,Men,≥85,525046
2031,Women,≥85,1087954
2032,Men,50-54,2020665
2032,Women,50-54,2020665
2032,Men,55-59,2020665
2032,Women,55-59,2020665
2032,Men,60-64,2020671
2032,Women,60-64,2020671
2032,Men,65-69,1843834
2032,Women,65-69,2224166
2032,Men,70-74,1582586
2032,Women,70-74,2039414
2032,Men,75-79,911573
2032,Women,75-79,1297427
2032,Men,80-84,911573
2032,Women,80-84,1297427
2032,Men,≥85,562722
2032,Women,≥85,1143278
2033,Men,50-54,1995998
2033,Women,50-54,1995998
2033,Men,55-59,1995998
2033,Women,55-59,1995998
2033,Men,60-64,1996004
2033,Women,60-64,1996004
2033,Men,65-69,1853226
2033,Women,65-69,2228774
2033,Men,70-74,1607326
2033,Women,70-74,2060674
2033,Men,75-79,971514
2033,Women,75-79,1369486
2033,Men,80-84,971514
2033,Women,80-84,1369486
2033,Men,≥85,601104
2033,Women,≥85,1197896
2034,Men,50-54,1971331
2034,Women,50-54,1971331
2034,Men,55-59,1971331
2034,Women,55-59,1971331
2034,Men,60-64,1971337
2034,Women,60-64,1971337
2034,Men,65-69,1862630
2034,Women,65-69,2233370
2034,Men,70-74,1632161
2034,Women,70-74,2081839
2034,Men,75-79,1032026
2034,Women,75-79,1440974
2034,Men,80-84,1032026
2034,Women,80-84,1440974
2034,Men,≥85,640180
2034,Women,≥85,1251820
2035,Men,50-54,1946665
2035,Women,50-54,1946665
2035,Men,55-59,1946665
2035,Women,55-59,1946665
2035,Men,60-64,1946671
2035,Women,60-64,1946671
2035,Men,65-69,1872047
2035,Women,65-69,2237953
2035,Men,70-74,1657092
2035,Women,70-74,2102908
2035,Men,75-79,1093102
2035,Women,75-79,1511898
2035,Men,80-84,1093102
2035,Women,80-84,1511898
2035,Men,≥85,679938
2035,Women,≥85,1305062
