year,tis_before,redo_target,tis_after
2015,74,113.0,0
2016,106,151.0,0
2017,134,171.0,0
2018,187,190.0,0
2019,230,177.0,53
2020,278,197.0,81
2021,341,183.0,158
2022,382,172.0,210
2023,455,220.0,235
2024,474,,474
2025,527,,527
2026,549,,549
2027,577,,577
2028,578,,578
2029,575,,575
2030,564,,564
2031,524,,524
2032,490,,490
2033,463,,463
2034,430,,430
2035,384,,384
