year,viv_type,mean,sd
2015,tavi_in_savr,11.108108108108109,13.287868349488102
2015,tavi_in_tavi,1.3076923076923077,0.5713980455826975
2016,tavi_in_savr,14.638655462184873,17.98345751450903
2016,tavi_in_tavi,1.3900709219858156,0.6737215368532151
2017,tavi_in_savr,17.647286821705425,23.56833785039271
2017,tavi_in_tavi,1.605,1.0218590802549525
2018,tavi_in_savr,21.39236111111111,30.143597282399792
2018,tavi_in_tavi,1.8717948717948718,1.122157881364694
2019,tavi_in_savr,25.870307167235495,37.12885152164396
2019,tavi_in_tavi,2.309090909090909,1.490061020835643
2020,tavi_in_savr,30.634551495016613,45.879617866196014
2020,tavi_in_tavi,3.1123595505617976,2.112008334635662
2021,tavi_in_savr,35.75316455696203,55.35727384663703
2021,tavi_in_tavi,3.795918367346939,2.8463075507797773
2022,tavi_in_savr,39.60681114551084,62.634577223952185
2022,tavi_in_tavi,4.984251968503937,3.81820621696788
2023,tavi_in_savr,45.45538461538462,71.69836945381799
2023,tavi_in_tavi,6.4404145077720205,5.486022270025665
2024,tavi_in_savr,45.797583081571,74.99489756515084
2024,tavi_in_tavi,7.441860465116279,6.503773687434918
2025,tavi_in_savr,51.36477987421384,83.883494493101
2025,tavi_in_tavi,9.30890052356021,8.937747627128797
2026,tavi_in_savr,51.25688073394495,84.97189037223146
2026,tavi_in_tavi,11.655172413793103,13.660703504924255
2027,tavi_in_savr,51.236363636363635,85.97793531247919
2027,tavi_in_tavi,13.491935483870968,20.05067540967053
2028,tavi_in_savr,52.35625,85.82469899557032
2028,tavi_in_tavi,17.735905044510385,31.62435278600675
2029,tavi_in_savr,51.0377358490566,83.79345093797032
2029,tavi_in_tavi,21.059006211180126,40.510137913560136
2030,tavi_in_savr,52.60606060606061,82.11204665813786
2030,tavi_in_tavi,25.166666666666668,51.575047331499135
2031,tavi_in_savr,51.908424908424905,75.76940419841965
2031,tavi_in_tavi,32.52962962962963,65.44878706658247
2032,tavi_in_savr,54.50416666666667,71.18406795543089
2032,tavi_in_tavi,44.077625570776256,81.56310328935157
2033,tavi_in_savr,57.760765550239235,65.09733977333454
2033,tavi_in_tavi,58.66483516483517,99.22318597513159
2034,tavi_in_savr,59.885245901639344,59.352763165721555
2034,tavi_in_tavi,72.29012345679013,119.86538423010468
2035,tavi_in_savr,56.13953488372093,53.747114768899294
2035,tavi_in_tavi,85.07482993197279,134.29226400037942
