year,TAM,pred_TAVI,pred_SAVR
2012,30.853536433013904,6.875764070838726,23.977772362175177
2013,49.46416116083937,11.506072345627869,37.9580888152115
2014,63.77446457207343,15.47217997717647,48.30228459489696
2015,179.64086252612915,45.41693499183761,134.22392753429153
2016,205.9132343561402,54.20472129969992,151.7085130564403
2017,231.98745753733763,63.53054158834238,168.45691594899526
2018,258.00023659449937,73.43815813454022,184.56207845995914
2019,283.77386756452023,83.8822495296118,199.89161803490845
2020,309.9184187440394,95.0490969405043,214.86932180353512
2021,333.30475612335067,105.96128169054266,227.34347443280802
2022,357.6088658685224,117.73811670310214,239.87074916542025
2023,387.07381630635894,131.8561348853703,255.21768142098864
2024,412.9127848779174,145.39670542182964,267.5160794560877
2025,438.2224864926062,159.35680459315608,278.8656818994501
2026,465.74259696735686,174.73926646931585,291.003330498041
2027,500.44284591376646,193.53348865924838,306.9093572545181
2028,534.616001816958,212.9068265500318,321.7091752669262
2029,568.2024753613384,232.80206365364313,335.4004117076953
2030,606.0275547344509,255.21380964032065,350.81374509413024
2031,643.8816440242936,278.4457926190446,365.43585140524897
2032,679.8543247473774,301.6278567726883,378.2264679746891
2033,717.6381562557335,326.3505601697161,391.2875960860174
2034,757.3865960871117,352.71734499234714,404.66925109476455
2035,799.0231232883773,380.72506788456803,418.29805540380926
2036,841.984170381462,410.1262809855316,431.85788939593044
2037,880.1111421535974,437.86274167034185,442.2484004832555
2038,920.3988342829247,467.29994538458953,453.09888889833513
2039,963.3996838825033,498.7528433231008,464.64684055940245
2040,1003.9383604339771,529.533221200284,474.40513923369315
