sex,age_band,year,count
Women,50-54,2019,2
Women,55-59,2019,6
Women,60-64,2019,11
Women,65-69,2019,10
Women,70-74,2019,12
Women,75-79,2019,7
Women,<5yr,2019,0
Women,>=80,2019,5
Men,10-14,2020,0
Men,15-19,2020,3
Men,20-24,2020,2
Men,25-29,2020,0
Men,30-34,2020,5
Men,35-39,2020,2
Men,40-44,2020,4
Men,45-49,2020,10
Men,5-9,2020,0
Men,50-54,2020,10
Men,55-59,2020,8
Men,60-64,2020,9
Men,65-69,2020,17
Men,70-74,2020,11
Men,75-79,2020,5
Men,<5yr,2020,0
Men,>=80,2020,73
Women,10-14,2020,0
Women,15-19,2020,0
Women,20-24,2020,1
Women,25-29,2020,0
Women,30-34,2020,1
Women,35-39,2020,1
Women,40-44,2020,1
Women,45-49,2020,3
Women,5-9,2020,0
Women,50-54,2020,1
Women,55-59,2020,8
Women,60-64,2020,8
Women,65-69,2020,5
Women,70-74,2020,11
Women,75-79,2020,6
Women,<5yr,2020,0
Women,>=80,2020,3
Men,10-14,2021,0
Men,15-19,2021,2
Men,20-24,2021,2
Men,25-29,2021,2
Men,30-34,2021,1
Men,35-39,2021,3
Men,40-44,2021,3
Men,45-49,2021,3
Men,5-9,2021,0
Men,50-54,2021,8
Men,55-59,2021,20
Men,60-64,2021,16
Men,65-69,2021,21
Men,70-74,2021,13
Men,75-79,2021,5
Men,<5yr,2021,0
Men,>=80,2021,86
Women,10-14,2021,0
Women,15-19,2021,0
Women,20-24,2021,0
Women,25-29,2021,0
Women,30-34,2021,0
Women,35-39,2021,0
Women,40-44,2021,1
Women,45-49,2021,1
Women,5-9,2021,0
Women,50-54,2021,1
Women,55-59,2021,2
Women,60-64,2021,13
Women,65-69,2021,9
Women,70-74,2021,9
Women,75-79,2021,8
Women,<5yr,2021,0
Women,>=80,2021,1
Men,10-14,2022,0
Men,15-19,2022,0
Men,20-24,2022,1
Men,25-29,2022,2
Men,30-34,2022,1
Men,35-39,2022,3
Men,40-44,2022,3
Men,45-49,2022,7
Men,5-9,2022,0
Men,50-54,2022,10
Men,55-59,2022,10
Men,60-64,2022,14
Men,65-69,2022,19
Men,70-74,2022,23
Men,75-79,2022,2
Men,<5yr,2022,0
Men,>=80,2022,87
Women,10-14,2022,0
Women,15-19,2022,0
Women,20-24,2022,1
Women,25-29,2022,0
Women,30-34,2022,1
Women,35-39,2022,0
Women,40-44,2022,0
Women,45-49,2022,1
Women,5-9,2022,0
Women,50-54,2022,6
Women,55-59,2022,7
Women,60-64,2022,9
Women,65-69,2022,8
Women,70-74,2022,20
Women,75-79,2022,7
Women,<5yr,2022,0
Women,>=80,2022,3
Men,10-14,2023,0
Men,15-19,2023,1
Men,20-24,2023,0
Men,25-29,2023,2
Men,30-34,2023,2
Men,35-39,2023,3
Men,40-44,2023,3
Men,45-49,2023,7
Men,5-9,2023,0
Men,50-54,2023,7
Men,55-59,2023,26
Men,60-64,2023,20
Men,65-69,2023,21
Men,70-74,2023,15
Men,75-79,2023,4
Men,<5yr,2023,0
Men,>=80,2023,99
Women,10-14,2023,0
Women,15-19,2023,0
Women,20-24,2023,0
Women,25-29,2023,1
Women,30-34,2023,1
Women,35-39,2023,2
Women,40-44,2023,0
Women,45-49,2023,3
Women,5-9,2023,0
Women,50-54,2023,3
Women,55-59,2023,2
Women,60-64,2023,11
Women,65-69,2023,13
Women,70-74,2023,13
Women,75-79,2023,3
Women,<5yr,2023,0
Women,>=80,2023,2
Men,10-14,2024,0
Men,15-19,2024,0
Men,20-24,2024,1
Men,25-29,2024,1
Men,30-34,2024,4
Men,35-39,2024,0
Men,40-44,2024,7
Men,45-49,2024,4
Men,5-9,2024,0
Men,50-54,2024,13
Men,55-59,2024,14
Men,60-64,2024,28
Men,65-69,2024,28
Men,70-74,2024,18
Men,75-79,2024,12
Men,<5yr,2024,0
Men,>=80,2024,118
Women,10-14,2024,0
Women,15-19,2024,0
Women,20-24,2024,1
Women,25-29,2024,0
Women,30-34,2024,0
Women,35-39,2024,0
Women,40-44,2024,1
Women,45-49,2024,1
Women,5-9,2024,0
Women,50-54,2024,4
Women,55-59,2024,8
Women,60-64,2024,8
Women,65-69,2024,11
Women,70-74,2024,19
Women,75-79,2024,11
Women,<5yr,2024,0
Women,>=80,2024,14
