year,tis_before,redo_target,tis_after
2015,72,2.0,70
2016,99,2.0,97
2017,133,4.0,129
2018,172,2.0,170
2019,218,3.0,215
2020,271,8.0,263
2021,317,8.0,309
2022,365,7.0,358
2023,437,10.0,427
2024,466,,466
2025,497,,497
2026,530,,530
2027,550,,550
2028,559,,559
2029,546,,546
2030,528,,528
2031,505,,505
2032,475,,475
2033,445,,445
2034,410,,410
2035,372,,372
