year,tavi_in_savr,tavi_in_tavi,total
2022,272.36,14.25,286.61
2023,296.42,24.97,321.39
2024,330.65,43.44,374.09
2025,352.75,66.77,419.52
2026,376.27,103.19,479.46
2027,397.79,146.83,544.62
2028,410.87,200.44,611.31
2029,412.15,256.98,669.13
2030,410.25,323.89,734.14
2031,395.5,406.27,801.77
2032,378.06,479.49,857.55
2033,362.12,566.01,928.13
2034,348.67,646.55,995.22
2035,337.26,736.7,1073.96
2036,324.34,780.35,1104.69
2037,314.08,817.8,1131.8799999999999
2038,309.25,864.52,1173.77
2039,311.22,907.31,1218.53
2040,308.17,952.13,1260.3
