"Region, subregion, country or area *",Gender,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Singapore,Male,2012,115,114,134,228,307,296,272,242,212,201,183,153,118,67,51,32,19,9,4,1,0
Singapore,Male,2013,116,115,132,231,318,306,278,243,216,199,185,159,122,76,52,34,20,10,4,1,0
Singapore,Male,2014,116,115,129,231,323,315,281,243,219,197,187,163,128,84,52,36,21,10,4,1,0
Singapore,Male,2015,118,115,126,231,326,323,282,244,220,194,187,167,133,94,52,39,23,11,4,1,0
Singapore,Male,2016,120,114,124,228,325,327,280,243,219,192,187,169,138,101,54,41,24,12,4,1,0
Singapore,Male,2017,121,113,122,223,320,327,275,241,215,191,184,170,143,106,60,43,25,13,4,1,0
Singapore,Male,2018,120,113,123,219,317,327,275,240,211,192,181,171,147,110,68,44,26,13,5,1,0
Singapore,Male,2019,119,113,123,218,318,330,282,241,210,194,178,172,151,114,76,44,28,14,5,1,0
Singapore,Male,2020,117,113,121,212,311,325,282,237,206,193,173,171,153,118,83,44,30,15,6,1,0
Singapore,Male,2021,114,113,119,204,300,315,280,230,202,188,169,168,153,122,89,45,32,15,6,1,0
Singapore,Male,2022,114,114,120,207,304,320,290,233,206,188,171,167,156,127,94,51,33,16,6,1,0
Singapore,Male,2023,116,115,118,202,307,330,304,245,214,191,176,167,158,132,98,58,34,17,7,2,0
Singapore,Male,2024,119,116,115,180,295,332,312,258,220,193,181,166,160,137,103,65,34,18,7,2,0
Singapore,Male,2025,121,116,114,161,280,332,319,270,226,197,184,165,162,142,107,72,34,20,8,2,0
Singapore,Male,2026,124,116,115,144,262,330,325,282,231,202,187,166,163,146,112,78,36,21,8,2,0
Singapore,Male,2027,127,117,116,131,242,325,329,294,236,207,188,169,163,149,118,82,41,22,8,2,0
Singapore,Male,2028,129,118,116,123,221,317,332,304,245,213,189,173,163,151,122,86,46,23,9,2,0
Singapore,Male,2029,131,120,117,119,200,305,332,311,256,219,191,178,162,153,127,90,52,23,9,2,0
Singapore,Male,2030,132,122,117,118,180,290,331,317,268,224,195,181,161,155,131,94,58,23,10,3,0
Singapore,Male,2031,132,125,117,119,163,271,328,323,281,229,200,184,162,156,135,99,63,25,11,3,0
Singapore,Male,2032,132,128,117,120,150,251,323,327,293,234,205,185,165,157,138,103,66,28,11,3,0
Singapore,Male,2033,131,130,119,120,142,230,315,329,302,243,211,186,169,156,141,108,69,32,12,3,0
Singapore,Male,2034,130,132,121,121,138,209,304,329,309,255,217,188,173,155,143,112,73,36,12,3,0
Singapore,Male,2035,128,133,123,121,138,189,288,329,315,267,222,192,177,154,145,116,76,40,12,4,1
Singapore,Male,2036,125,133,126,121,138,172,269,326,321,279,227,197,179,155,146,120,80,44,13,4,1
Singapore,Male,2037,122,133,129,121,139,159,249,321,325,290,232,202,181,158,146,123,84,46,15,4,1
Singapore,Male,2038,119,132,131,123,139,151,228,312,327,300,241,208,182,163,146,125,88,48,17,4,1
Singapore,Male,2039,115,131,133,125,140,147,207,301,327,307,252,213,184,167,145,127,92,51,20,4,1
Singapore,Male,2040,110,129,134,127,140,146,187,285,326,313,264,219,188,170,144,129,95,54,22,4,1
Singapore,Male,2041,106,126,134,130,140,146,169,266,324,318,276,224,192,173,146,130,99,57,24,5,1
Singapore,Male,2042,101,123,134,132,140,147,156,246,318,322,288,229,198,174,149,131,101,60,25,6,1
Singapore,Male,2043,97,119,133,135,141,147,148,225,310,324,297,237,203,175,153,131,103,63,27,7,1
Singapore,Male,2044,94,115,131,136,143,147,143,203,298,324,304,249,209,177,157,130,105,66,29,8,1
Singapore,Male,2045,90,111,129,137,145,147,142,183,282,324,310,260,214,181,160,130,107,69,30,8,1
