sex,age_band,year,count
Men,5-9,2020,2
Men,50-54,2020,92
Men,55-59,2020,129
Men,60-64,2020,250
Men,65-69,2020,235
Men,70-74,2020,220
Men,75-79,2020,171
Men,<5yr,2020,2
Men,>=80,2020,65
Women,10-14,2020,1
Women,15-19,2020,1
Women,20-24,2020,1
Women,25-29,2020,3
Women,30-34,2020,2
Women,35-39,2020,11
Women,40-44,2020,16
Women,45-49,2020,28
Women,5-9,2020,1
Women,50-54,2020,42
Women,55-59,2020,65
Women,60-64,2020,142
Women,65-69,2020,126
Women,70-74,2020,158
Women,75-79,2020,140
Women,>=80,2020,113
Men,10-14,2021,4
Men,15-19,2021,2
Men,20-24,2021,8
Men,25-29,2021,16
Men,30-34,2021,27
Men,35-39,2021,26
Men,40-44,2021,43
Men,45-49,2021,57
Men,5-9,2021,1
Men,50-54,2021,112
Men,55-59,2021,140
Men,60-64,2021,220
Men,65-69,2021,264
Men,70-74,2021,240
Men,75-79,2021,169
Men,<5yr,2021,1
Men,>=80,2021,86
Women,10-14,2021,1
Women,15-19,2021,2
Women,20-24,2021,1
Women,25-29,2021,1
Women,30-34,2021,3
Women,35-39,2021,10
Women,40-44,2021,8
Women,45-49,2021,23
Women,5-9,2021,4
Women,50-54,2021,47
Women,55-59,2021,85
Women,60-64,2021,130
Women,65-69,2021,152
Women,70-74,2021,185
Women,75-79,2021,162
Women,<5yr,2021,2
Women,>=80,2021,89
Men,10-14,2022,5
Men,15-19,2022,3
Men,20-24,2022,10
Men,25-29,2022,14
Men,30-34,2022,11
Men,35-39,2022,21
Men,40-44,2022,45
Men,45-49,2022,50
Men,5-9,2022,3
Men,50-54,2022,89
Men,55-59,2022,116
Men,60-64,2022,220
Men,65-69,2022,234
Men,70-74,2022,227
Men,75-79,2022,139
Men,>=80,2022,62
Women,15-19,2022,3
Women,20-24,2022,2
Women,25-29,2022,3
Women,30-34,2022,5
Women,35-39,2022,6
Women,40-44,2022,9
Women,45-49,2022,22
Women,5-9,2022,3
Women,50-54,2022,35
Women,55-59,2022,56
Women,60-64,2022,125
Women,65-69,2022,154
Women,70-74,2022,165
Women,75-79,2022,110
Women,>=80,2022,76
Men,10-14,2023,2
Men,15-19,2023,7
Men,20-24,2023,6
Men,25-29,2023,14
Men,30-34,2023,12
Men,35-39,2023,28
Men,40-44,2023,36
Men,45-49,2023,55
Men,5-9,2023,3
Men,50-54,2023,128
Men,55-59,2023,160
Men,60-64,2023,258
Men,65-69,2023,318
Men,70-74,2023,304
Men,75-79,2023,195
Men,>=80,2023,60
Women,10-14,2023,1
Women,15-19,2023,3
Women,20-24,2023,3
Women,25-29,2023,5
Women,30-34,2023,6
Women,35-39,2023,7
Women,40-44,2023,10
Women,45-49,2023,23
Women,5-9,2023,3
Women,50-54,2023,62
Women,55-59,2023,91
Women,60-64,2023,166
Women,65-69,2023,182
Women,70-74,2023,215
Women,75-79,2023,167
Women,>=80,2023,90
