year,viv_type,mean,sd
2022,tavi_in_savr,461.04,21.557496528253388
2022,tavi_in_tavi,85.42,8.73305574391133
2023,tavi_in_savr,494.35,21.427526429545935
2023,tavi_in_tavi,104.42,10.48922487049631
2024,tavi_in_savr,537.9,20.07737557802338
2024,tavi_in_tavi,132.42,11.746635022142904
2025,tavi_in_savr,558.22,21.530143304378406
2025,tavi_in_tavi,168.27,10.680724637770549
2026,tavi_in_savr,588.28,23.398212829965523
2026,tavi_in_tavi,210.26,15.373872628455059
2027,tavi_in_savr,616.01,24.30965847044124
2027,tavi_in_tavi,254.24,14.986269810339158
2028,tavi_in_savr,644.92,22.792733203121713
2028,tavi_in_tavi,299.75,16.70442692186353
2029,tavi_in_savr,664.99,23.91546348995551
2029,tavi_in_tavi,338.72,19.385551216294992
2030,tavi_in_savr,693.57,26.671308308155538
2030,tavi_in_tavi,373.88,20.728295207812497
2031,tavi_in_savr,717.93,23.230620249397507
2031,tavi_in_tavi,410.47,20.983617948824325
2032,tavi_in_savr,750.12,24.497486987176245
2032,tavi_in_tavi,441.08,19.796785781351662
2033,tavi_in_savr,765.27,24.855076915689658
2033,tavi_in_tavi,479.99,22.29168210138237
2034,tavi_in_savr,788.16,27.194666737981883
2034,tavi_in_tavi,514.45,18.863879759899866
2035,tavi_in_savr,811.79,25.679569759446977
2035,tavi_in_tavi,540.05,26.194445783390606
2036,tavi_in_savr,834.89,27.087547923820136
2036,tavi_in_tavi,570.88,22.472555652968342
2037,tavi_in_savr,851.25,32.284209793956585
2037,tavi_in_tavi,596.95,25.064512721770555
2038,tavi_in_savr,857.57,29.285172240082737
2038,tavi_in_tavi,621.22,23.838929201089236
2039,tavi_in_savr,870.56,28.638224085789243
2039,tavi_in_tavi,637.89,28.02484287523872
2040,tavi_in_savr,879.05,30.506291783562233
2040,tavi_in_tavi,660.0,25.472107938454627
2041,tavi_in_savr,887.39,27.951579706356604
2041,tavi_in_tavi,685.77,28.008604377796456
2042,tavi_in_savr,895.99,27.87000668688962
2042,tavi_in_tavi,709.9,26.496616898591164
2043,tavi_in_savr,896.89,29.230499845403266
2043,tavi_in_tavi,727.11,21.379634886470523
2044,tavi_in_savr,896.42,33.57072437933883
2044,tavi_in_tavi,756.64,23.962732007275886
2045,tavi_in_savr,899.03,30.508967054082166
2045,tavi_in_tavi,781.42,26.287524405959935
2046,tavi_in_savr,898.85,30.787435125650884
2046,tavi_in_tavi,807.44,28.672064326226543
2047,tavi_in_savr,903.64,28.056047800462167
2047,tavi_in_tavi,831.82,30.07981973941263
2048,tavi_in_savr,900.05,31.554786411169786
2048,tavi_in_tavi,873.81,30.743544941264595
2049,tavi_in_savr,907.82,26.9834891529744
2049,tavi_in_tavi,905.57,32.63395238834622
2050,tavi_in_savr,910.2,31.047373382291024
2050,tavi_in_tavi,937.78,30.78454945014601
