year,tavi_in_savr,tavi_in_tavi,total
2022,75.0,14.43,89.43
2023,92.10000000000002,24.3,116.40000000000002
2024,124.38999999999999,45.44,169.82999999999998
2025,131.19,69.15,200.34
2026,171.87,104.54,276.41
2027,198.64999999999998,142.87,341.52
2028,219.73000000000002,185.99,405.72
2029,235.85000000000002,228.27,464.12
2030,242.76999999999998,283.24,526.01
2031,251.83999999999997,334.15,585.99
2032,251.18,393.34,644.52
2033,254.33000000000004,446.36,700.69
2034,257.71000000000004,500.35,758.0600000000001
2035,269.11,555.82,824.9300000000001
2036,271.65,574.58,846.23
2037,279.59000000000003,594.13,873.72
2038,287.03,611.77,898.8
2039,308.35,635.49,943.84
2040,327.65,665.93,993.5799999999999
